Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Don't Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;REPL;;;;;;;;;;;;;;;;
;BMDT;;;;;;;;;;;;;;;;
;BMDT\Biped Flags;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Head;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Hair;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Upper Body;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Left Hand;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Right Hand;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Weapon;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\PipBoy;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Backpack;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Necklace;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Headband;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Hat;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Eye Glasses;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Nose Ring;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Earrings;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Mask;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Choker;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Mouth Object;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Body AddOn 1;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Body AddOn 2;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Body AddOn 3;;;;;;;;;;;;;;;;
