Armor\EnclaveScientist\LeftGloveF.NIF;RadiationSuitGloves;leftglove;Armor\EnclaveScientist\RadiationGlovesM.dds;Armor\EnclaveScientist\GlovesM_n.dds;;;;;
Armor\EnclaveScientist\RightGloveF.NIF;RadiationSuitGloves;rightglove;Armor\EnclaveScientist\RadiationGlovesM.dds;Armor\EnclaveScientist\GlovesM_n.dds;;;;;
Armor\PowerArmor\BackPackPACylinders.NIF;OutcastPowerArmor;PABackpack;Armor\PowerArmor\PowerArmorBodyOutcast.dds;Armor\PowerArmor\PowerArmorBodyOutcast_n.dds;;;;;
Armor\PowerArmor\PowerArmorLeftHand.NIF;OutcastPowerArmor;PALeftHand;Armor\PowerArmor\PowerArmorBodyOutcast.dds;Armor\PowerArmor\PowerArmorBodyOutcast_n.dds;;;;;
Armor\PowerArmor\PowerArmorRightHand.NIF;OutcastPowerArmor;PARightHand;Armor\PowerArmor\PowerArmorBodyOutcast.dds;Armor\PowerArmor\PowerArmorBodyOutcast_n.dds;;;;;
Armor\EnclaveScientist\RightGloveF.NIF;RadiationSuitGloves;rightglove;Armor\EnclaveScientist\RadiationGlovesM.dds;Armor\EnclaveScientist\GlovesM_n.dds;;;;;
Armor\EnclaveScientist\RightGloveF.NIF;RadiationSuitGloves;rightglove;Armor\EnclaveScientist\RadiationGlovesM.dds;Armor\EnclaveScientist\GlovesM_n.dds;;;;;
weapons\1handgrenadethrow\dynamite.NIF;1stPerson10mmSubmachineGunTexture;##Cap:0;Weapons\1HandPistol\1stPerson10mmSubMachineGun.dds;Weapons\1HandPistol\1stPerson10mmSubMachineGun_n.dds;;;;;
weapons\1handgrenadethrow\dynamite.NIF;1stPerson10mmSubmachineGunTexture;##Lighter:0;Weapons\1HandPistol\1stPerson10mmSubMachineGun.dds;Weapons\1HandPistol\1stPerson10mmSubMachineGun_n.dds;;;;;
weapons\1handgrenadethrow\dynamite.NIF;1stPersonDynamiteTexture;Dynamite:0;weapons\1handgrenadethrow\dynamite_C.dds;weapons\1handgrenadethrow\dynamite_N.dds;;;;;
Weapons\1HandMelee\Ripper.NIF;1stPersonRipperTexture;Ripper:0;Weapons\1HandMelee\1stPersonRipper.dds;Weapons\1HandMelee\1stPersonRipper_n.dds;Weapons\1HandMelee\Ripper_m.dds;;;Effects\ShinyBright_e.dds;
Weapons\1HandPistol\LaserPistol.NIF;1stPersonLaserPistolTexture;##LPSideLatch:0;Weapons\1HandPistol\1stPersonLaserpistol.dds;Weapons\1HandPistol\1stPersonLaserpistol_N.dds;;;;;
