Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
Removed;DATA;;;;;;;;;;;;;;;;
Might be in property actor values;DATA\Tag Skills;;;;;;;;;;;;;;;;
Removed;DATA\Tag Skills\Tag Skill #0;;;;;;;;;;;;;;;;
Removed;DATA\Tag Skills\Tag Skill #1;;;;;;;;;;;;;;;;
Removed;DATA\Tag Skills\Tag Skill #2;;;;;;;;;;;;;;;;
Removed;DATA\Tag Skills\Tag Skill #3;;;;;;;;;;;;;;;;
Removed;DATA\Flags;;;;;;;;;;;;;;;;
Removed;DATA\Flags\Playable;;;;;;;;;;;;;;;;
Removed;DATA\Flags\Guard;;;;;;;;;;;;;;;;
Removed;DATA\Buys/Sells and Services;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Food;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Armor;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Alcohol;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Weapons;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Books;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Miscellaneous;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Repair;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Chems;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Stimpacks;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Lights?;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Potions?;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Training;;;;;;;;;;;;;;;;
;DATA\Buys/Sells and Services\Recharge;;;;;;;;;;;;;;;;
Removed;DATA\Teaches;;;;;;;;;;;;;;;;
Removed;DATA\Maximum training level;;;;;;;;;;;;;;;;
Removed;DATA\Unused;;;;;;;;;;;;;;;;
Need To Add To List;ATTR;;;;;;;;;PRPS;;;;;;;
;ATTR\Attribute #0 (Strength);;;;;;;;;PRPS\Property;;;;2147483647;;;
;;;;;;;;;;PRPS\Property\Value;;;;1;;;
;;;;;;;;;;PRPS\Property\Actor Value;;"Strength ""Strength"" [AVIF:F40002C2]";;0;TRUE;;
;ATTR\Attribute #1 (Perception);;;;;;;;;PRPS\Property;;;;2147483647;;;
;;;;;;;;;;PRPS\Property\Value;;;;1;;;
;;;;;;;;;;PRPS\Property\Actor Value;;"Perception ""Perception"" [AVIF:F40002C3]";;0;TRUE;;
;ATTR\Attribute #2 (Endurance);;;;;;;;;PRPS\Property;;;;2147483647;;;
;;;;;;;;;;PRPS\Property\Value;;;;1;;;
;;;;;;;;;;PRPS\Property\Actor Value;;"Endurance ""Endurance"" [AVIF:F40002C4]";;0;TRUE;;
;ATTR\Attribute #3 (Charisma);;;;;;;;;PRPS\Property;;;;2147483647;;;
;;;;;;;;;;PRPS\Property\Value;;;;1;;;
;;;;;;;;;;PRPS\Property\Actor Value;;"Charisma ""Charisma"" [AVIF:F40002C5]";;0;TRUE;;
;ATTR\Attribute #4 (Intelligence);;;;;;;;;PRPS\Property;;;;2147483647;;;
;;;;;;;;;;PRPS\Property\Value;;;;1;;;
;;;;;;;;;;PRPS\Property\Actor Value;;"Intelligence ""Intelligence"" [AVIF:F40002C6]";;0;TRUE;;
;ATTR\Attribute #5 (Agility);;;;;;;;;PRPS\Property;;;;2147483647;;;
;;;;;;;;;;PRPS\Property\Value;;;;1;;;
;;;;;;;;;;PRPS\Property\Actor Value;;"Agility ""Agility"" [AVIF:F40002C7]";;0;TRUE;;
;ATTR\Attribute #6 (Luck);;;;;;;;;PRPS\Property;;;;2147483647;;;
;;;;;;;;;;PRPS\Property\Value;;;;1;;;
;;;;;;;;;;PRPS\Property\Actor Value;;"Luck ""Luck"" [AVIF:F40002C8]";;0;TRUE;;
