Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;ENIT\Type;;;;;;;;;ENIT\Enchant Type;Weapon;Enchantment;;;;;
;;;;;;;;;;;Apparel;Staff Enchantment;;;;;
;ENIT\Unused;;;;;;;;;;;;;;;;
;ENIT\Flags;;;;;;;;;ENIT\Flags;;0;;;TRUE;;
;ENIT\Flags\No Auto-Calc;;;;;;;;;ENIT\Flags\No Auto-Calc;;;;1;;;TRUE
;ENIT\Flags\Auto Calculate;;;;;;;;;;;;;;;;
;ENIT\Flags\Hide Effect;;;;;;;;;;;;;;;;
;Effects\Effect;;;;;;;;;Effects\Effect;;;;;;;
Gone;Effects\Effect\EFIT\Type;;;;;;;;;;;;;;;;
Gone;Effects\Effect\EFIT\Actor Value;;;;;;;;;;;;;;;;
;Effects\Effect\PRKE;;;;;;;;;Effects\Effect\PRKE;;;;;;;
;Effects\Effect\PRKE\Type;;;;;;;;;Effects\Effect\PRKE\Type;;;;;;;
;Effects\Effect\PRKE\Rank;;;;;;;;;Effects\Effect\PRKE\Rank;;;;;;;
;Effects\Effect\PRKE\Priority;;;;;;;;;Effects\Effect\PRKE\Priority;;;;;;;
;Effects\Effect\DATA;;;;;;;;;Effects\Effect\DATA;;;;;;;
;Effects\Effect\DATA\Ability;;;;;;;;;Effects\Effect\DATA\Ability;NULL - Null Reference [00000000];"DetectLifeSpell ""Detect Life"" [SPEL:00225179]";;;;;
;Effects\Effect\PRKF;;;;;;;;;Effects\Effect\PRKF;;;;4;;;
;Effects\Effect\DATA\Entry Point\Function;;;;;;;;;Effects\Effect\DATA\Entry Point\Function;;;;;;;
;Effects\Effect\DATA\Entry Point\Perk Condition Tab Count;;;;;;;;;Effects\Effect\DATA\Entry Point\Perk Condition Tab Count;;;;;;;
;Effects\Effect\Perk Conditions;;;;;;;;;Effects\Effect\Perk Conditions;;;;2;;;
Don’t know yet;Effects\Effect\Perk Conditions\Perk Condition\PRKC;;;;;;;;;Effects\Effect\Perk Conditions\Perk Condition\PRKC;;;;;TRUE;;
;Effects\Effect\Entry Point Function Parameters;;;;;;;;;Effects\Effect\Function Parameters;;;;;;;
;Effects\Effect\Entry Point Function Parameters\EPFT;;;;;;;;;Effects\Effect\Function Parameters\EPFT;Script;;;;;;
;Effects\Effect\Entry Point Function Parameters\EPFD;;;;;;;;;Effects\Effect\Function Parameters\EPFD;;;;4;;;
;Effects\Effect\Entry Point Function Parameters\EPFD\Float;;;;;;;;;Effects\Effect\Function Parameters\EPFD\Float;;;;;;;
;Effects\Effect\Entry Point Function Parameters\EPF2;;;;;;;;;Effects\Effect\Function Parameters\EPF2;;;;2;;;
;Effects\Effect\Entry Point Function Parameters\EPF3;;;;;;;;;Effects\Effect\Function Parameters\EPF3;;;;3;;;
;Effects\Effect\Entry Point Function Parameters\EPF3\Run Immediately;;;;;;;;;Effects\Effect\Function Parameters\EPF3\Script Flags;;0;;;TRUE;;
;;;;;;;;;;Effects\Effect\Function Parameters\EPF3\Script Flags\Run Immediately;;1;;1;TRUE;;TRUE
3;Effects\Effect\Entry Point Function Parameters\Embedded Script;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\Unused;;;;;;;;;;;;;;;;
1;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\RefCount;;;;;;;;;;;;;;;;
2;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\CompiledSize;;;;;;;;;;;;;;;;
3;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\VariableCount;;;;;;;;;;;;;;;;
4;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\Type;;;;;;;;;;;;;;;;
5;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\Flags;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\Flags\Enabled;;;;;;;;;;;;;;;;
1;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCDA;;;;;;;;;;;;;;;;
2;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCTX;;;;;;;;;;;;;;;;
3;Effects\Effect\Entry Point Function Parameters\Embedded Script\Local Variables;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\Local Variables\Local Variable;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\Local Variables\Local Variable\SLSD;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\Local Variables\Local Variable\SLSD\Index;;;;;;;;;;;;;;;;
1;Effects\Effect\Entry Point Function Parameters\Embedded Script\Local Variables\Local Variable\SLSD\Unused;;;;;;;;;;;;;;;;
2;Effects\Effect\Entry Point Function Parameters\Embedded Script\Local Variables\Local Variable\SLSD\Flags;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\Local Variables\Local Variable\SLSD\Flags\IsLongOrShort;;;;;;;;;;;;;;;;
3;Effects\Effect\Entry Point Function Parameters\Embedded Script\Local Variables\Local Variable\SLSD\Unused;;;;;;;;;;;;;;;;
1;Effects\Effect\Entry Point Function Parameters\Embedded Script\Local Variables\Local Variable\SCVR;;;;;;;;;;;;;;;;
4;Effects\Effect\Entry Point Function Parameters\Embedded Script\References;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\References\SCRO;;;;;;;;;;;;;;;;
;Effects\Effect\DATA\Quest + Stage;;;;;;;;;Effects\Effect\DATA\Quest + Stage;;;;;;;
;Effects\Effect\DATA\Quest + Stage\Quest;;;;;;;;;Effects\Effect\DATA\Quest + Stage\Quest;;;;;;;
;Effects\Effect\DATA\Quest + Stage\Quest Stage;;;;;;;;;Effects\Effect\DATA\Quest + Stage\Quest Stage;;;;;;;
;Effects\Effect\DATA\Quest + Stage\Unused;;;;;;;;;Effects\Effect\DATA\Quest + Stage\Unused;;;;;;;
;Effects\Effect\DATA\Entry Point\Entry Point;;;;;;;;;Effects\Effect\DATA\Entry Point\Entry Point;Calculate Weapon Damage;Mod Weapon Attack Damage;;;;;
;;;;;;;;;;;Calculate My Critical Hit Chance;Mod My Critical Hit Chance;;;;;
;;;;;;;;;;;Calculate My Critical Hit Damage;Mod My Critical Hit Damage Mult;;;;;
;;;;;;;;;;;Calculate Weapon Attack AP Cost;;;;;;
;;;;;;;;;;;Calculate Mine Explode Chance;Mod Mine Explode Chance;;;;;
;;;;;;;;;;;Adjust Range Penalty;;;;;;
;;;;;;;;;;;Adjust Limb Damage;;;;;;
;;;;;;;;;;;Calculate Weapon Range;Mod Gun Range Mult;;;;;
;;;;;;;;;;;Calculate To Hit Chance;Mod VATS Hit Chance;;;;;
;;;;;;;;;;;Adjust Experience Points;Mod Exp;;;;;
;;;;;;;;;;;Adjust Gained Skill Points;;;;;;
;;;;;;;;;;;Adjust Book Skill Points;;;;;;
