Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
;DATA;;;;;;;;;Data;;;;;;;
;DATA\Stone;;;;;;;;;Data\PNAM;;;;0;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;Material_Stone [MATT:F4012F34];;0;TRUE;;
;DATA\Dirt;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;Material_Dirt [MATT:F4012F38];;0;TRUE;;
;DATA\Grass;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;MaterialGrass [MATT:F4012F46];;0;TRUE;;
;DATA\Glass;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;Material_Glass [MATT:F4012F39];;0;TRUE;;
;DATA\Metal;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;Material_Metal [MATT:F40223D1];;0;TRUE;;
;DATA\Wood;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;Material_Wood [MATT:F4043DCC];;0;TRUE;;
;DATA\Organic;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;Material_Organic [MATT:F4012F3D];;0;TRUE;;
;DATA\Cloth;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;Material_Cloth [MATT:F4022957];;0;TRUE;;
;DATA\Water;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;Material_Water [MATT:F4012F40];;0;TRUE;;
;DATA\Hollow Metal;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;MaterialMetalHollow [MATT:F402295C];;0;TRUE;;
;DATA\Organic Bug;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;MaterialOrganicInsect [MATT:F410D5CC];;0;TRUE;;
;DATA\Organic Glow;;;;;;;;;Data\PNAM;;;;2147483647;;;
;;;;;;;;;;Data\PNAM\Impact;;;;1;;;
;;;;;;;;;;Data\PNAM\Material;;MaterialActorGlowing [MATT:F41C756F];;0;TRUE;;
