Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
;DESC;;;;;;;;;DNAM;;;;;;;
;DATA;;;;;;;;;Magic Effect Data;;;;;;;
;;;;;;;;;;Magic Effect Data\DATA;;;;0;;;
;;;;;;;;;;Magic Effect Data\DATA\Impact Data;;NULL - Null Reference [00000000];;;TRUE;;
;DATA\Flags;;;;;;;;;Magic Effect Data\DATA\Flags;;0;;;TRUE;;
;DATA\Flags\Hostile;;;;;;;;;Magic Effect Data\DATA\Flags\Hostile;;;;1;;;TRUE
;DATA\Flags\Recover;;;;;;;;;Magic Effect Data\DATA\Flags\Recover;;;;2;;;TRUE
;DATA\Flags\Detrimental;;;;;;;;;Magic Effect Data\DATA\Flags\Detrimental;;;;3;;;TRUE
;DATA\Flags\Self;;;;;;;;;Magic Effect Data\DATA\Delivery;;Self;;;TRUE;;
;;;;;;;;;;Magic Effect Data\DATA;;;;0;;;
Don’t set to 0 to avoid clearing previous flags;;;;;;;;;;Magic Effect Data\DATA\Flags;;;;;TRUE;;
;DATA\Flags\Touch;;;;;;;;;Magic Effect Data\DATA\Delivery;;Touch;;;TRUE;;
;;;;;;;;;;Magic Effect Data\DATA;;;;0;;;
Don’t set to 0 to avoid clearing previous flags;;;;;;;;;;Magic Effect Data\DATA\Flags;;;;;TRUE;;
;DATA\Flags\Target;;;;;;;;;Magic Effect Data\DATA\Delivery;;Target Actor;;;TRUE;;
;;;;;;;;;;Magic Effect Data\DATA;;;;0;;;
Don’t set to 0 to avoid clearing previous flags;;;;;;;;;;Magic Effect Data\DATA\Flags;;;;;TRUE;;
;DATA\Flags\No Duration;;;;;;;;;Magic Effect Data\DATA\Flags\No Duration;;;;10;;;TRUE
;DATA\Flags\No Magnitude;;;;;;;;;Magic Effect Data\DATA\Flags\No Magnitude;;;;11;;;TRUE
;DATA\Flags\No Area;;;;;;;;;Magic Effect Data\DATA\Flags\No Area;;;;12;;;TRUE
;DATA\Flags\FX Persist;;;;;;;;;Magic Effect Data\DATA\Flags\FX Persist;;;;13;;;TRUE
;DATA\Flags\Gory Visuals;;;;;;;;;Magic Effect Data\DATA\Flags\Gory Visuals;;;;15;;;TRUE
;DATA\Flags\Display Name Only;;;;;;;;;;;;;;;;
;DATA\Flags\Radio Broadcast ??;;;;;;;;;;;;;;;;
;DATA\Flags\Use skill;;;;;;;;;;;;;;;;
;DATA\Flags\Use attribute;;;;;;;;;;;;;;;;
;DATA\Flags\Painless;;;;;;;;;Magic Effect Data\DATA\Flags\Painless;;;;27;;;TRUE
;DATA\Flags\Spray projectile type (or Fog if Bolt is specified as well);;;;;;;;;;;;;;;;
;DATA\Flags\Bolt projectile type (or Fog if Spray is specified as well);;;;;;;;;;;;;;;;
;DATA\Flags\No Hit Effect;;;;;;;;;Magic Effect Data\DATA\Flags\No Hit Effect;;;;28;;;TRUE
;DATA\Flags\No Death Dispel;;;;;;;;;Magic Effect Data\DATA\Flags\No Death Dispel;;;;29;;;TRUE
;DATA\Flags\????;;;;;;;;;;;;;;;;
;DATA\Base cost (Unused);;;;;;;;;Magic Effect Data\DATA\Base Cost;;;;;;;
;DATA\Assoc. Item;;;;;;;;;;;;;;;;
;DATA\Magic School (Unused);;;;;;;;;;;;;;;;
;DATA\Resistance Type;;;;;;;;;;;;;;;;
;DATA\Counter effect count;;;;;;;;;Magic Effect Data\DATA\Counter Effect count;;;;;;;
;DATA\Unused;;;;;;;;;;;;;;;;
;DATA\Light;;;;;;;;;Magic Effect Data\DATA\Casting Light;;;;;;;
;DATA\Projectile speed;;;;;;;;;;;;;;;;
;DATA\Effect Shader;;;;;;;;;Magic Effect Data\DATA\Hit Shader;;;;;;;
;DATA\Object Display Shader;;;;;;;;;Magic Effect Data\DATA\Enchant Shader;;;;;;;
;DATA\Effect sound;;;;;;;;;;;;;;;;
;DATA\Bolt sound;;;;;;;;;;;;;;;;
;DATA\Hit sound;;;;;;;;;;;;;;;;
;DATA\Area sound;;;;;;;;;;;;;;;;
;DATA\Constant Effect enchantment factor  (Unused);;;;;;;;;;;;;;;;
;DATA\Constant Effect barter factor (Unused);;;;;;;;;;;;;;;;
;DATA\Archtype;;;;;;;;;Magic Effect Data\DATA\Archetype;Bound Item;Bound Weapon;;;;;
;;;;;;;;;;;Chameleon;Chameleon;;;;;
;;;;;;;;;;;Concussion;Concussion;;;;;
;;;;;;;;;;;Cure Addiction;Cure Addiction;;;;;
;;;;;;;;;;;Cure Disease;Cure Disease;;;;;
;;;;;;;;;;;Cure Paralysis;Cure Paralysis;;;;;
;;;;;;;;;;;Cure Poison;Cure Poison;;;;;
;;;;;;;;;;;Dispel;Dispel;;;;;
