Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;Record Header\Record Flags\Has Distant LOD;;;;16;;;TRUE
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;Record Header\Record Flags\Random Anim Start;;;;17;;;TRUE
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
;SCRI;;;;;;;;;;;;;;;;
?;DESC;;;;;;;;;NAM0;;;;;;;
Same but redirect to SNDR;SNAM;;;;;;;;;;;;;;;;
Unknown;PNAM;;;;;;;;;;;;;;;;
;DNAM;;;;;;;;;;;;;;;;
;DNAM\Base Hacking Difficulty;;;;;;;;;;;;;;;;
;DNAM\Flags;;;;;;;;;;;;;;;;
;DNAM\Flags\Leveled;;;;;;;;;;;;;;;;
;DNAM\Flags\Unlocked;;;;;;;;;;;;;;;;
;DNAM\Flags\Alternate Colors;;;;;;;;;;;;;;;;
;DNAM\Flags\Hide Welcome Text when displaying Image;;;;;;;;;;;;;;;;
;DNAM\ServerType;;;;;;;;;;;;;;;;
;DNAM\Unused;;;;;;;;;;;;;;;;
;Menu Items;;;;;;;;;;;;;;;;
;Menu Items\Menu Item;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\ITXT;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\RNAM;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\ANAM;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\ANAM\Add Note;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\ANAM\Force Redraw;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\INAM;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\TNAM;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\SCHR;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\SCHR\Unused;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\SCHR\RefCount;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\SCHR\CompiledSize;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\SCHR\VariableCount;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\SCHR\Type;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\SCHR\Flags;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\SCHR\Flags\Enabled;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\SCDA;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\SCTX;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\Local Variables;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\Local Variables\Local Variable;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\Local Variables\Local Variable\SLSD;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\Local Variables\Local Variable\SLSD\Index;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\Local Variables\Local Variable\SLSD\Unused;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\Local Variables\Local Variable\SLSD\Flags;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\Local Variables\Local Variable\SLSD\Flags\IsLongOrShort;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\Local Variables\Local Variable\SLSD\Unused;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\Local Variables\Local Variable\SCVR;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\References;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\References\SCRV;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Embedded Script\References\SCRO;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Conditions;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Conditions\CTDA;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Conditions\CTDA\Type;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Conditions\CTDA\Unused;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Conditions\CTDA\Comparison Value;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Conditions\CTDA\Function;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Conditions\CTDA\Parameter #1;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Conditions\CTDA\Parameter #2;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Conditions\CTDA\Run On;;;;;;;;;;;;;;;;
;Menu Items\Menu Item\Conditions\CTDA\Reference;;;;;;;;;;;;;;;;
;Model;;;;;;;;;Model;;;;;;;
;Model\MODL;;;;;;;;;Model\MODL;File;File;;;;;
;Model\MODT;;;;;;;;;Model\MODT;;;;1;;;
