Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?;;
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag;;
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;;
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE;;
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE;;
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;;;
;Textures (RGB/A);;;;;;;;;Textures (RGB/A);;;;;;;;;
Diffuse;Textures (RGB/A)\TX00;;;;;;;;;Textures (RGB/A)\TX00;;;;0;;;;;
Normal;Textures (RGB/A)\TX01;;;;;;;;;Textures (RGB/A)\TX01;;;;1;;;;;
Environment;Textures (RGB/A)\TX02;;;;;;;;;Textures (RGB/A)\TX05;;;;4;;;;;
Glow;Textures (RGB/A)\TX03;;;;;;;;;Textures (RGB/A)\TX03;;;;2;;;;;
FNV Parallax FO4 Multilayer?;Textures (RGB/A)\TX04;;;;;;;;;Textures (RGB/A)\TX06;;;;6;;;;;
Environment;Textures (RGB/A)\TX05;;;;;;;;;Textures (RGB/A)\TX05;;;;4;;;;;
;DODT\Flags;;;;;;;;;DODT\Flags;;0;;;TRUE;;;;
?;DODT\Flags\Parallax;;;;;;;;;DODT\Flags\POM Shadows;;;;1;;;TRUE;;
;DODT\Flags\Alpha - Blending;;;;;;;;;DODT\Flags\Alpha - Blending;;;;2;;;TRUE;;
;DODT\Flags\Alpha - Testing;;;;;;;;;DODT\Flags\Alpha - Testing;;;;3;;;TRUE;;
;DODT\Unused;;;;;;;;;;;;;;;;;4;DODT\Flags\No Subtextures
;DODT\Color\Unused;;;;;;;;;;;;;;;;;;
;DNAM;;;;;;;;;DNAM;;0;;;TRUE;;;;
;DNAM\No Specular Map;;;;;;;;;DNAM\No Specular Map;;;;1;;;TRUE;;
