Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
OR NAM3 OR NAM4;NNAM;;;;;;;;;NAM2;;;;;;;
5;FNAM;;;;;;;;;;;0;;;TRUE;;
0;FNAM\Causes Damage;;;;;;;;;FNAM\Dangerous;;;;1;;;TRUE
1;FNAM\Reflective;;;;;;;;;;;;;;;;
6;MNAM;;;;;;;;;TNAM;;;;;;;
SNDR instead of SOUN;SNAM;;;;;;;;;;;;;;;;
9;DATA;;;;;;;;;;;;;;;;
10;DNAM;;;;;;;;;;;;;;;;
3;DNAM\Unknown;;;;;;;;;;;;;;;;
4;DNAM\Water Properties - Sun Power;;;;;;;;;;;;;;;;
5;DNAM\Water Properties - Reflectivity Amount;;;;;;;;;;;;;;;;
6;DNAM\Water Properties - Fresnel Amount;;;;;;;;;;;;;;;;
7;DNAM\Unused;;;;;;;;;;;;;;;;
8;DNAM\Fog Properties - Above Water - Fog Distance - Near Plane;;;;;;;;;;;;;;;;
9;DNAM\Fog Properties - Above Water - Fog Distance - Far Plane;;;;;;;;;;;;;;;;
10;DNAM\Shallow Color;;;;;;;;;DNAM\Fog Properties\Shallow Color;;;;1;;;
0;DNAM\Shallow Color\Red;;;;;;;;;DNAM\Fog Properties\Shallow Color\Red;;;;0;;;
1;DNAM\Shallow Color\Green;;;;;;;;;DNAM\Fog Properties\Shallow Color\Green;;;;1;;;
2;DNAM\Shallow Color\Blue;;;;;;;;;DNAM\Fog Properties\Shallow Color\Blue;;;;2;;;
3;DNAM\Shallow Color\Unused;;;;;;;;;;;;;;;;
11;DNAM\Deep Color;;;;;;;;;DNAM\Fog Properties\Deep Color;;;;2;;;
0;DNAM\Deep Color\Red;;;;;;;;;DNAM\Fog Properties\Deep Color\Red;;;;0;;;
1;DNAM\Deep Color\Green;;;;;;;;;DNAM\Fog Properties\Deep Color\Green;;;;1;;;
2;DNAM\Deep Color\Blue;;;;;;;;;DNAM\Fog Properties\Deep Color\Blue;;;;2;;;
3;DNAM\Deep Color\Unused;;;;;;;;;;;;;;;;
12;DNAM\Reflection Color;;;;;;;;;DNAM\Physical Properties\Reflection Color;;;;7;;;
0;DNAM\Reflection Color\Red;;;;;;;;;DNAM\Physical Properties\Reflection Color\Red;;;;0;;;
1;DNAM\Reflection Color\Green;;;;;;;;;DNAM\Physical Properties\Reflection Color\Green;;;;1;;;
2;DNAM\Reflection Color\Blue;;;;;;;;;DNAM\Physical Properties\Reflection Color\Blue;;;;2;;;
3;DNAM\Reflection Color\Unused;;;;;;;;;;;;;;;;
13;DNAM\Unused;;;;;;;;;;;;;;;;
14;DNAM\Rain Simulator - Force;;;;;;;;;;;;;;;;
15;DNAM\Rain Simulator - Velocity;;;;;;;;;;;;;;;;
16;DNAM\Rain Simulator - Falloff;;;;;;;;;;;;;;;;
17;DNAM\Rain Simulator - Dampner;;;;;;;;;;;;;;;;
18;DNAM\Displacement Simulator - Starting Size;;;;;;;;;DNAM\Physical Properties\Displacement Simulator\Starting Size;;;;4;;;
19;DNAM\Displacement Simulator - Force;;;;;;;;;DNAM\Physical Properties\Displacement Simulator\Force;;;;0;;;
20;DNAM\Displacement Simulator - Velocity;;;;;;;;;DNAM\Physical Properties\Displacement Simulator\Velocity;;;;1;;;
21;DNAM\Displacement Simulator - Falloff;;;;;;;;;DNAM\Physical Properties\Displacement Simulator\Falloff;;;;2;;;
22;DNAM\Displacement Simulator - Dampner;;;;;;;;;DNAM\Physical Properties\Displacement Simulator\Dampener;;;;3;;;
23;DNAM\Rain Simulator - Starting Size;;;;;;;;;;;;;;;;
24;DNAM\Noise Properties - Normals - Noise Scale;;;;;;;;;;;;;;;;
25;DNAM\Noise Properties - Noise Layer One - Wind Direction;;;;;;;;;DNAM\Noise Properties\Layer 1 - Wind Direction;;;;0;;;
26;DNAM\Noise Properties - Noise Layer Two - Wind Direction;;;;;;;;;DNAM\Noise Properties\Layer 2 - Wind Direction;;;;1;;;
27;DNAM\Noise Properties - Noise Layer Three - Wind Direction;;;;;;;;;DNAM\Noise Properties\Layer 3 - Wind Direction;;;;2;;;
28;DNAM\Noise Properties - Noise Layer One - Wind Speed;;;;;;;;;DNAM\Noise Properties\Layer 1 - Wind Speed;;;;3;;;
29;DNAM\Noise Properties - Noise Layer Two - Wind Speed;;;;;;;;;DNAM\Noise Properties\Layer 2 - Wind Speed;;;;4;;;
30;DNAM\Noise Properties - Noise Layer Three - Wind Speed;;;;;;;;;DNAM\Noise Properties\Layer 3 - Wind Speed;;;;5;;;
31;DNAM\Noise Properties - Normals - Depth Falloff Start;;;;;;;;;DNAM\Physical Properties\Shallow Normal Falloff;;;;1;;;
