Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?;;
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag;;
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;;
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE;;
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE;;
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;;;
;Icon;;;;;;;;;;;;;;;;;;
;Icon\ICON;;;;;;;;;ICON;File;File;;;;;;;
;Icon\MICO;;;;;;;;;MICO;;;;;;;;;
;SCRI;;;;;;;;;;;;;;;;;;
Ammo;NAM0;;;;;;;;;DNAM;;;;;;;;;
;;;;;;;;;;DNAM\Ammo;AmmoList10mm [FLST:001537E6];"Ammo10mm ""10mm Round"" [AMMO:00004241]";;;;;;;
;;;;;;;;;;;AmmoList127mm [FLST:001613D5];"Ammo127mm ""12.7mm Round"" [AMMO:001429CF]";;;;;;;
;;;;;;;;;;;AmmoList12Ga [FLST:0015367F];"Ammo12Ga ""12 Gauge Round"" [AMMO:0008ECF5]";;;;;;;
;;;;;;;;;;;AmmoList20Ga [FLST:0015367E];"Ammo20Ga ""20 Gauge Round"" [AMMO:000E86F2]";;;;;;;
;;;;;;;;;;;AmmoList22LR [FLST:001537EB];"Ammo22LR "".22LR Round"" [AMMO:0007EA27]";;;;;;;
;;;;;;;;;;;AmmoList25mmGrenade [FLST:001537EE];"Ammo25mmGrenade ""25mm Grenade"" [AMMO:00096C40]";;;;;;;
;;;;;;;;;;;AmmoList308 [FLST:001537E9];"Ammo308 "".308 Round"" [AMMO:0006B53C]";;;;;;;
;;;;;;;;;;;AmmoList357Magnum [FLST:001537E3];"Ammo357Magnum "".357 Magnum Round"" [AMMO:0008ED02]";;;;;;;
;;;;;;;;;;;AmmoList40mmGrenade [FLST:00158308];"Ammo40mmGrenade ""40mm Grenade"" [AMMO:0007EA26]";;;;;;;
;;;;;;;;;;;AmmoList44Magnum [FLST:001537E4];"Ammo44magnum "".44 Magnum Round"" [AMMO:0002937E]";;;;;;;
;;;;;;;;;;;AmmoList4570 [FLST:001537E5];"Ammo4570 "".45-70 Gov't"" [AMMO:00121133]";;;;;;;
;;;;;;;;;;;AmmoList50MG [FLST:001537E8];"Ammo50MG "".50 MG"" [AMMO:0008ECFF]";;;;;;;
;;;;;;;;;;;AmmoList556mm [FLST:001537EA];"Ammo556mm ""5.56mm Round"" [AMMO:00004240]";;;;;;;
;;;;;;;;;;;AmmoList5mm [FLST:001537EC];"Ammo5mmRobot ""5mm Round"" [AMMO:000615A8]";;;;;;;
;;;;;;;;;;;AmmoList9mm [FLST:001537E7];"Ammo9mm ""9mm Round"" [AMMO:0008ED03]";;;;;;;
;;;;;;;;;;;AmmoListElectronChargePack [FLST:0015831B];"AmmoElectronChargePack ""Electron Charge Pack"" [AMMO:0006B53E]";;;;;;;
;;;;;;;;;;;AmmoListFlamerFuel [FLST:00166F63];"AmmoFlamerFuel ""Flamer Fuel"" [AMMO:00029371]";;;;;;;
;;;;;;;;;;;AmmoListMicroFusionCell [FLST:0015831A];"AmmoMicroFusionCell ""Microfusion Cell"" [AMMO:00004485]";;;;;;;
;;;;;;;;;;;AmmoListMissile [FLST:001537ED];"AmmoMissile ""Missile"" [AMMO:00029383]";;;;;;;
;;;;;;;;;;;AmmoListSmallEnergyCell [FLST:00158319];"AmmoSmallEnergyCell ""Energy Cell"" [AMMO:00020772]";;;;;;;
;;;;;;;;;;;LibertyPrimeWeapons [FLST:00059331];"AmmoFatMans ""Mini Nuke"" [AMMO:00020799]";;;;;;;
Repair List;REPL;;;;;;;;;;;;;;;;;;
Equipment Type;ETYP;;;;;;;;;;;;;;;;;;
;BIPL;;;;;;;;;;;;;;;;;;
SNDR;YNAM;;;;;;;;;;;;;;;;;;
SNDR;ZNAM;;;;;;;;;;;;;;;;;;
;Shell Casing Model;;;;;;;;;;;;;;;;;;
;Shell Casing Model\MOD2;;;;;;;;;;File;File;;;;;;;
;Shell Casing Model\MO2T;;;;;;;;;;;;;;;;;;
;Shell Casing Model\MO2S;;;;;;;;;;;;;;;;;;
;Shell Casing Model\MO2S\Alternate Texture;;;;;;;;;;;;;;;;;;
0;Shell Casing Model\MO2S\Alternate Texture\3D Name;;;;;;;;;;;;;;;;;;
1;Shell Casing Model\MO2S\Alternate Texture\New Texture;;;;;;;;;;;;;;;;;;
2;Shell Casing Model\MO2S\Alternate Texture\3D Index;;;;;;;;;;;;;;;;;;
11;Scope Model;;;;;;;;;;;;;;;;;;
0;Scope Model\MOD3;;;;;;;;;;File;File;;;;;;;
1;Scope Model\MO3T;;;;;;;;;;;;;;;;;;
2;Scope Model\MO3S;;;;;;;;;;;;;;;;;;
0;Scope Model\MO3S\Alternate Texture;;;;;;;;;;;;;;;;;;
0;Scope Model\MO3S\Alternate Texture\3D Name;;;;;;;;;;;;;;;;;;
