Notes;Original Path;New Path;New Index(-1 = Unchanged);Replace Any Value?;Flag?;Original Value 1;New Value 1;Original Value 2;New Value 2; Original Value n...; New Value n...
;Record Header\Record Flags\ESM;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Form initialized (Runtime only);;-1;FALSE;;;;;;;
;Record Header\Record Flags\Deleted;Record Header\Record Flags\Deleted;6;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Inaccessible;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;Record Header\Record Flags\Persistent;11;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Initially disabled;Record Header\Record Flags\Initially Disabled;12;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Ignored;Record Header\Record Flags\Ignored;13;FALSE;TRUE;;;;;;
;Record Header\Record Flags\No Voice Filter;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;-1;FALSE;;;;;;;
;Record Header\Record Flags\Visible when distant;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;Record Header\Record Flags\Is Full LOD;17;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;-1;FALSE;;;;;;;
;Record Header\Record Flags\Compressed;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Unknown 21;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;-1;FALSE;;;;;;;
;Record Header\Record Flags\Unknown 23;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Unknown 24;;-1;FALSE;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;-1;FALSE;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;-1;FALSE;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;Record Header\Record Flags\Filter (Collision Geometry);27;FALSE;TRUE;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;Record Header\Record Flags\Bounding Box (Collision Geometry);28;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;Record Header\Record Flags\Reflected By Auto Water;29;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;-1;FALSE;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;Record Header\Record Flags\Ground;31;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Multibound;Record Header\Record Flags\Multibound;32;FALSE;TRUE;;;;;;
Changed to Linked References but have to List;XLKR;;-1;FALSE;;;;;;;
Gone;Audio Data;;-1;FALSE;;;;;;;
Gone;Audio Data\MMRK;;-1;FALSE;;;;;;;
Gone;Audio Data\FULL;;-1;FALSE;;;;;;;
Gone;Audio Data\CNAM;;-1;FALSE;;;;;;;
Gone;Audio Data\BNAM;;-1;FALSE;;;;;;;
Gone;Audio Data\BNAM\Use Controller Values;;-1;FALSE;;;;;;;
Gone;Audio Data\MNAM;;-1;FALSE;;;;;;;
Gone;Audio Data\NNAM;;-1;FALSE;;;;;;;
Actually Patrol\Data;Patrol Data;Patrol;0;FALSE;;;;;;;
;Patrol Data\XPRD;Patrol\Data\XPRD;-1;FALSE;;;;;;;
;Patrol Data\XPPA;Patrol\Data\XPPA;-1;FALSE;;;;;;;
;Patrol Data\INAM;Patrol\Data\INAM;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\Unused;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\RefCount;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\CompiledSize;;-1;FALSE;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\VariableCount;;-1;FALSE;;;;;;;
