Ammo\10mmAmmo.NIF;;;9,9;;Ammo\10mmAmmo.NIF;Ammo\10mm\10mmAmmo.nif
ammo\22lrammo.nif;;;;Ammo\;ammo\22lrammo.nif;
ammo\25mmammo.nif;;;;Ammo\;ammo\25mmammo.nif;
ammo\3006rramo.NIF;;;;Ammo\;ammo\3006rramo.NIF;
ammo\308ammo.nif;;;;Ammo\;ammo\308ammo.nif;
ammo\357MagnumAmmo.NIF;;;;Ammo\;ammo\357MagnumAmmo.NIF;
Ammo\44MagnumAmmo.NIF;;;;Ammo\;Ammo\44MagnumAmmo.NIF;
Ammo\5mmAmmo.NIF;;;;Ammo\;Ammo\5mmAmmo.NIF;
ammo\9mmammo.nif;;;;Ammo\;ammo\9mmammo.nif;
Ammo\AlienPowerCell.NIF;;;;Ammo\;Ammo\AlienPowerCell.NIF;
Ammo\ECCell.NIF;;;;Ammo\;Ammo\ECCell.NIF;
Ammo\FlamerFuel.NIF;;;;Ammo\;Ammo\FlamerFuel.NIF;
ammo\shotgunshellbox.nif;;;;Ammo\;ammo\shotgunshellbox.nif;
AnimObjects\aoBarDishRag.NIF;-10.469378;;;;AnimObjects\aoBarDishRag.NIF;AnimObjects\DishRag_glass.nif
AnimObjects\aoBarGlassEmpty.NIF;;;;;AnimObjects\aoBarGlassEmpty.NIF;Props\PlateSetting\Glass.nif
AnimObjects\aoBeaker.NIF;;;;;AnimObjects\aoBeaker.NIF;Props\ChemistrySet\ChemistrySeBottle01.nif
AnimObjects\aoBeerBottle.NIF;;;;;AnimObjects\aoBeerBottle.NIF;SetDressing\Kitchen\BeerBottle01.nif
AnimObjects\aoBroom.NIF;;;;;AnimObjects\aoBroom.NIF;AnimObjects\PushBroom.nif
AnimObjects\aoCamera.NIF;;;;;AnimObjects\aoCamera.NIF;Props\Camera.nif
AnimObjects\aoChalk.NIF;;;;;AnimObjects\aoChalk.NIF;SetDressing\Office\Chalk01.nif
AnimObjects\aoCheckedTestPaper.NIF;;;;;AnimObjects\aoCheckedTestPaper.NIF;AnimObjects\AnimObjectPaper.nif
AnimObjects\aoCigarette.NIF;;;;;AnimObjects\aoCigarette.NIF;AnimObjects\Cigarette.nif
