Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Don’t Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\ESM;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Compressed;;;;;;;;;Record Header\Record Flags\Compressed;;;;19;;;TRUE
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;TRUE
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;TRUE
;Layers\Alpha Layer\ATXT\Unused;;;;;;;;;Layers\Alpha Layer\ATXT\Unknown;;;;;;;
;Layers\Base Layer\BTXT\Unused;;;;;;;;;Layers\Base Layer\BTXT\Unknown;;;;;;;
