Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Don t Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;DATA;;;;;;;;;DNAM;;;;;;;
;DATA\Flags;;;;;;;;;DNAM\Flags;;0;;;TRUE;;
;DATA\Flags\Start game enabled;;;;;;;;;DNAM\Flags\Start Game Enabled;;;;1;;;TRUE
;DATA\Flags\Allow repeated stages;;;;;;;;;DNAM\Flags\Allow repeated stages;;;;4;;;TRUE
;DATA\Flags\Allow repeated conversation topics;;;;;;;;;;;;;;;;
;DATA\Flags\Unknown 4;;;;;;;;;;;;;;;;
;DATA\Priority;;;;;;;;;DNAM\Priority;;;;;;;
;DATA\Unused;;;;;;;;;;;;;;;;
;DATA\Quest Delay;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries;;;;;;;;;Stages\Stage\Log Entries;;;;1;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\QSDT\Complete Quest;;;;;;;;;Stages\Stage\Log Entries\Log Entry\QSDT\Complete Quest;;;;1;;;TRUE
;Stages\Stage\Log Entries\Log Entry\QSDT\Fail Quest;;;;;;;;;Stages\Stage\Log Entries\Log Entry\QSDT\Fail Quest;;;;2;;;TRUE
;Stages\Stage\Log Entries\Log Entry\Embedded Script\SCHR;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\SCHR\Unused;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\SCHR\RefCount;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\SCHR\CompiledSize;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\SCHR\VariableCount;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\SCHR\Type;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\SCHR\Flags;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\SCHR\Flags\Enabled;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\SCDA;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\SCTX;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\Local Variables;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\Local Variables\Local Variable;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\Local Variables\Local Variable\SLSD;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\Local Variables\Local Variable\SLSD\Index;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\Local Variables\Local Variable\SLSD\Unused;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\Local Variables\Local Variable\SLSD\Flags;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\Local Variables\Local Variable\SLSD\Flags\IsLongOrShort;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\Local Variables\Local Variable\SLSD\Unused;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\Local Variables\Local Variable\SCVR;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\References;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\Embedded Script\References\SCRO;;;;;;;;;;;;;;;;
;Stages\Stage\Log Entries\Log Entry\CNAM;;;;;;;;;Stages\Stage\Log Entries\Log Entry\CNAM;;;;3;;;
;Stages\Stage\Log Entries\Log Entry\NAM0;;;;;;;;;Stages\Stage\Log Entries\Log Entry\NAM0;;;;4;;;
;Objectives\Objective\NNAM;;;;;;;;;Objectives\Objective\NNAM;;;;2;;;
;Objectives\Objective\Targets;;;;;;;;;Objectives\Objective\Targets;;;;3;;;
;Objectives\Objective\Targets\Target\QSTA\Target;;;;;;;;;Objectives\Objective\Targets\Target\QSTA\Alias;;;;;;;
;Objectives\Objective\Targets\Target\QSTA\Unused;;;;;;;;;;;;;;;;
;Objectives\Objective\Targets\Target\QSTA\Flags\Compass Marker Ignores Locks;;;;;;;;;Objectives\Objective\Targets\Target\QSTA\Flags\Compass Marker Ignores Locks;;;;1;;;TRUE
