Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Don't Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Destructable;;;;;;;;;Destructible;;;;;;;
;Destructable\DEST;;;;;;;;;Destructible\DEST;;;;;;;
;Destructable\DEST\Count;;;;;;;;;Destructible\DEST\DEST Count;;;;;;;
;Destructable\DEST\Health;;;;;;;;;Destructible\DEST\Health;;;;;;;
;Destructable\DEST\Unused;;;;;;;;;Destructible\DEST\Unknown;;;;;;;
;Destructable\Stages;;;;;;;;;Destructible\Stages;;;;2;;;
;Destructable\Stages\Stage\Model;;;;;;;;;Destructible\Stages\Stage\Model;;;;2;;;
;Destructable\Stages\Stage\DSTD\Damage Stage;;;;;;;;;Destructible\Stages\Stage\DSTD\Model Damage Stage;;;;;;;
;Destructable\DEST\Flags;;;;;;;;;Destructible\DEST\Flags;;;;;;;
;Destructable\DEST\Flags\VATS Targetable;;;;;;;;;Destructible\DEST\Flags\VATS Targetable;;;;;;;
;Destructable\DEST\Unused;;;;;;;;;Destructible\DEST\Unused;;;;;;;
;Destructable\Stages\Stage;;;;;;;;;Destructible\Stages\Stage;;;;;;;
;Destructable\Stages\Stage\DSTD;;;;;;;;;Destructible\Stages\Stage\DSTD;;;;;;;
;Destructable\Stages\Stage\DSTD\Health %;;;;;;;;;Destructible\Stages\Stage\DSTD\Health %;;;;;;;
;Destructable\Stages\Stage\DSTD\Index;;;;;;;;;Destructible\Stages\Stage\DSTD\Index;;;;;;;
;Destructable\Stages\Stage\DSTD\Flags;;;;;;;;;Destructible\Stages\Stage\DSTD\Flags;;;;;;;
;Destructable\Stages\Stage\DSTD\Flags\Cap Damage;;;;;;;;;Destructible\Stages\Stage\DSTD\Flags\Cap Damage;;;;;;;
;Destructable\Stages\Stage\DSTD\Flags\Disable;;;;;;;;;Destructible\Stages\Stage\DSTD\Flags\Disable;;;;;;;
;Destructable\Stages\Stage\DSTD\Flags\Destroy;;;;;;;;;Destructible\Stages\Stage\DSTD\Flags\Destroy;;;;;;;
;Destructable\Stages\Stage\DSTD\Self Damage per Second;;;;;;;;;Destructible\Stages\Stage\DSTD\Self Damage per Second;;;;;;;
;Destructable\Stages\Stage\DSTD\Explosion;;;;;;;;;Destructible\Stages\Stage\DSTD\Explosion;;;;;;;
;Destructable\Stages\Stage\DSTD\Debris;;;;;;;;;Destructible\Stages\Stage\DSTD\Debris;;;;;;;
;Destructable\Stages\Stage\DSTD\Debris Count;;;;;;;;;Destructible\Stages\Stage\DSTD\Debris Count;;;;;;;
;Destructable\Stages\Stage\Model;;;;;;;;;Destructible\Stages\Stage\Model;;;;;;;
;Destructable\Stages\Stage\Model\DMDL;;;;;;;;;Destructible\Stages\Stage\Model\DMDL;;;;;;;
;Destructable\Stages\Stage\Model\DMDT;;;;;;;;;Destructible\Stages\Stage\Model\DMDT;;;;;;;
;Destructable\Stages\Stage\DSTF;;;;;;;;;Destructible\Stages\Stage\DSTF;;;;3;;;
;Record Header\Record Flags;;;;;;;;;Record Header\Record Flags;;0;;;TRUE;;
;ETYP;;;;;;;;;;;;;;;;
;Effects\Effect\EFIT\Type;;;;;;;;;;;;;;;;
;Effects\Effect\EFIT\Actor Value;;;;;;;;;;;;;;;;
;Effects\Effect\Conditions;;;;;;;;;Effects\Effect\Conditions;;;;2;;;
;Effects\Effect\Conditions\CTDA;;;;;;;;;Effects\Effect\Conditions\Condition;;;;;;;
;;;;;;;;;;Effects\Effect\Conditions\Condition\CTDA;;;;0;;;
conversion found in __fnvfunctionsmissing.csv;Effects\Effect\Conditions\CTDA\Function;;;;;;;;;Effects\Effect\Conditions\Condition\CTDA\Function;ChallengeLocked;;;3;;;
;;;;;;;;;;;GetActorFactionPlayerEnemy;GetFactionReaction;;;;;
;;;;;;;;;;;GetActorValue;GetValue;;;;;
;;;;;;;;;;;GetAnimAction;;;;;;
;;;;;;;;;;;GetArmorRating;;;;;;
;;;;;;;;;;;GetArmorRatingUpperBody;;;;;;
;;;;;;;;;;;GetBarterGold;;;;;;
;;;;;;;;;;;GetBaseActorValue;GetBaseValue;;;;;
;;;;;;;;;;;GetCasinoWinningStage;;;;;;
;;;;;;;;;;;GetChallengeCompleted;;;;;;
;;;;;;;;;;;GetDetectionLevel;;;;;;
;;;;;;;;;;;GetDialogueEmotion;;;;;;
;;;;;;;;;;;GetDialogueEmotionValue;;;;;;
;;;;;;;;;;;GetDisposition;;;;;;
;;;;;;;;;;;GetFatiguePercentage;;;;;;
;;;;;;;;;;;GetForceHitReaction;;;;;;
;;;;;;;;;;;GetHasNote;;;;;;
;;;;;;;;;;;GetMajorCrimeCount;;;;;;
;;;;;;;;;;;GetMinorCrimeCount;;;;;;
;;;;;;;;;;;GetPCInFaction;;;;;;
;;;;;;;;;;;GetPCIsClass;;;;;;
;;;;;;;;;;;GetPCIsRace;;;;;;
;;;;;;;;;;;GetPCIsSex;;;;;;
;;;;;;;;;;;GetPermanentActorValue;GetPermanentValue;;;;;
;;;;;;;;;;;GetPlayerControlsDisabled;;;;;;
;;;;;;;;;;;GetPlayerHasLastRiddenHorse;IsPlayersLastRiddenMount;;;;;
;;;;;;;;;;;GetQuestVariable;GetVMQuestVariable;;;;;
;;;;;;;;;;;GetRadiationLevel;;;;;;
;;;;;;;;;;;GetReputation;;;;;;
;;;;;;;;;;;GetReputationPct;;;;;;
;;;;;;;;;;;GetReputationThreshold;;;;;;
;;;;;;;;;;;GetSandman;;;;;;
;;;;;;;;;;;GetScriptVariable;;;;;;
;;;;;;;;;;;GetUsedItemActivate;;;;;;
;;;;;;;;;;;GetUsedItemLevel;;;;;;
;;;;;;;;;;;GetVampire;GetVampireFeed;;;;;
;;;;;;;;;;;GetWalkSpeed;GetMovementSpeed;;;;;
;;;;;;;;;;;GetWeaponHealthPerc;;;;;;
;;;;;;;;;;;HasFriendDisposition;;;;;;
;;;;;;;;;;;IsActorEvil;;;;;;
;;;;;;;;;;;IsActorTalkingThroughActivator;;;;;;
;;;;;;;;;;;IsAlwaysHardcore;;;;;;
;;;;;;;;;;;IsHardcore;;;;;;
;;;;;;;;;;;IsPlayerTagSkill;;;;;;
;;;;;;;;;;;IsPlayersLastRiddenHorse;;;;;;
;;;;;;;;;;;IsRidingHorse;IsRidingMount;;;;;
;;;;;;;;;;;IsWin32;IsWindowsPC;;;;;
;;;;;;;;;;;MenuMode;;;;;;
;;;;;;;;;;;PlayerInRegion;;;;;;
;;;;;;;;;;;WhichServiceMenu;;;;;;
Temp Removed would be: Effects\Effect\Conditions\Condition\CTDA\Parameter #1;Effects\Effect\Conditions\CTDA\Parameter #1;;;;;;;;;;;;;;;;
;Effects\Effect\Conditions\CTDA\Parameter #2;;;;;;;;;;;;;;;;
;Effects\Effect\Conditions\CTDA\Run On;;;;;;;;;Effects\Effect\Conditions\Condition\CTDA\Run On;Subject (0);0;;7;;;
;;;;;;;;;;;Target (1);1;;;;;
;;;;;;;;;;;Reference (2);2;;;;;
;;;;;;;;;;;Combat Target (3);3;;;;;
;;;;;;;;;;;Linked Reference (4);4;;;;;
