Notes;Original Path;New Path;New Index(-1 = Unchanged);Replace Any Value?;Flag?;Original Value 1;New Value 1;Original Value 2;New Value 2; Original Value n...; New Value n...
;DATA;DATA;-1;FALSE;;;0;;;;
;DATA\Behave like exterior;;-1;FALSE;;;;;;;
;DATA\Hand changed;DATA\Hand Changed;7;FALSE;TRUE;;;;;;
;DATA\Has water;DATA\Has Water;2;FALSE;TRUE;;;;;;
Unsure;DATA\Invert Fast Travel behavior;DATA\Can't Travel From Here;3;FALSE;TRUE;;;;;;
;DATA\Is Interior Cell;DATA\Is Interior Cell;1;FALSE;TRUE;;;;;;
;DATA\No LOD Water;DATA\No LOD Water;4;FALSE;TRUE;;;;;;
;DATA\Public place;DATA\Public Area;6;FALSE;TRUE;;;;;;
Now Own Record;Light Template;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LNAM;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LNAM\Ambient Color;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LNAM\Clip Distance;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LNAM\Directional Color;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LNAM\Directional Rotation;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LNAM\Directional Fade;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LNAM\Fog Color;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LNAM\Fog Far;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LNAM\Fog Near;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LNAM\Fog Power;;-1;FALSE;;;;;;;
Now Own Record;Light Template\LTMP;;-1;FALSE;;;;;;;
;XCLL\Fog Clip Dist;XCLL\Fog Clip Distance;-1;FALSE;;;;;;;
May Need Need to add to Color Far Color High Near Color High Far;XCLL\Fog Color;XCLL\Fog Color Near;-1;FALSE;;;;;;;
;XCLL\Fog Color\Blue;XCLL\Fog Color Near\Blue;-1;FALSE;;;;;;;
;XCLL\Fog Color\Green;XCLL\Fog Color Near\Green;-1;FALSE;;;;;;;
;XCLL\Fog Color\Red;XCLL\Fog Color Near\Red;-1;FALSE;;;;;;;
;XCLL\Fog Color\Unused;XCLL\Fog Color Near\Unused;-1;FALSE;;;;;;;
;XNAM;XWEM;-1;FALSE;;;;;;;
;XCLR\Region;XCLR\Region;2147483647;FALSE;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;Record Header\Record Flags\Persistent;11;FALSE;TRUE;;;;;;
