Notes;Original Path;New Path;New Index(-1 = Unchanged);Replace Any Value?;Flag?;Original Value 1;New Value 1;Original Value 2;New Value 2; Original Value n...; New Value n...
;Record Header\Record Flags\ESM;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Form initialized (Runtime only);;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Deleted;Record Header\Record Flags\Deleted;6;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Turn Off Fire;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Inaccessible;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Initially disabled;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Ignored;Record Header\Record Flags\Ignored;13;FALSE;TRUE;;;;;;
;Record Header\Record Flags\No Voice Filter;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Visible when distant;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Compressed;Record Header\Record Flags\Compressed;19;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Unknown 21;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Unknown 23;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Unknown 24;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;-1;FALSE;TRUE;;;;;;
;Record Header\Record Flags\Multibound;;-1;FALSE;TRUE;;;;;;
;Layers\Alpha Layer\ATXT\Unused;Layers\Alpha Layer\ATXT\Unknown;-1;FALSE;;;;;;;
;Layers\Base Layer\BTXT\Unused;Layers\Base Layer\BTXT\Unknown;-1;FALSE;;;;;;;
