Notes;Original Path;New Path;New Index(-1 = Unchanged);Replace Any Value?;Flag?;Original Value 1;New Value 1;Original Value 2;New Value 2; Original Value n...; New Value n...
Unknown;ACBS\Barter gold;;-1;FALSE;;;;;;;
;ACBS\Calc max;ACBS\Calc max level;-1;FALSE;;;;;;;
;ACBS\Calc min;ACBS\Calc min level;-1;FALSE;;;;;;;
Unknown;ACBS\Fatigue;;-1;FALSE;;;;;;;
;ACBS\Flags;ACBS\Flags;-1;TRUE;;;0;;;;
Moved to RACE;ACBS\Flags\Allow PC Dialogue;;-1;FALSE;TRUE;;;;;;
Moved to RACE;ACBS\Flags\Allow Pickpocket;;-1;FALSE;TRUE;;;;;;
Moved to RACE;ACBS\Flags\Can't Open Doors;;-1;FALSE;TRUE;;;;;;
Moved to RACE;ACBS\Flags\Flies;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Flags\No Low Level Processing;;-1;FALSE;TRUE;;;;;;
;ACBS\Flags\Respawn;ACBS\Flags\Respawn;4;FALSE;TRUE;;;;;;
Moved to RACE;ACBS\Flags\Swims;;-1;FALSE;TRUE;;;;;;
Moved to RACE;ACBS\Flags\Tilt Front/Back;;-1;FALSE;TRUE;;;;;;
Moved to RACE;ACBS\Flags\Tilt Left/Right;;-1;FALSE;TRUE;;;;;;
Moved to RACE;ACBS\Flags\Walks;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Flags\Weapon & Shield?;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Karma (Alignment);;-1;FALSE;;;;;;;
Unknown;ACBS\Speed Multiplier;;-1;FALSE;;;;;;;
Unknown;ACBS\Template Flags;;-1;FALSE;;;;;;;
Unknown;ACBS\Template Flags\Use Actor Effect List;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Template Flags\Use AI Data;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Template Flags\Use AI Packages;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Template Flags\Use Base Data;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Template Flags\Use Factions;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Template Flags\Use Inventory;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Template Flags\Use Model/Animation;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Template Flags\Use Script;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Template Flags\Use Stats;;-1;FALSE;TRUE;;;;;;
Unknown;ACBS\Template Flags\Use Traits;;-1;FALSE;TRUE;;;;;;
2 other options;AIDT\Aggro Radius;AIDT\Aggro\Warn/Attack;-1;FALSE;;;;;;;
;AIDT\Aggro Radius Behavior;AIDT\Aggro\Aggro Radius Behavior;-1;FALSE;;;;;;;
;AIDT\Aggro Radius Behavior\Aggro Radius Behavior;AIDT\Aggro\Aggro Radius Behavior;-1;FALSE;;;;;;;
Unknown;AIDT\Buys/Sells and Services;;-1;FALSE;;;;;;;
Unknown;AIDT\Buys/Sells and Services\Alcohol;;-1;FALSE;;;;;;;
Unknown;AIDT\Buys/Sells and Services\Food;;-1;FALSE;;;;;;;
Unknown;AIDT\Buys/Sells and Services\Stimpacks;;-1;FALSE;;;;;;;
Unknown;AIDT\Maximum training level;;-1;FALSE;;;;;;;
Unknown;AIDT\Teaches;;-1;FALSE;;;;;;;
Gone;AIDT\Unused;;-1;FALSE;;;;;;;
RACE;BNAM;;-1;FALSE;;;;;;;
Unkown;DATA\Attributes;;-1;FALSE;;;;;;;
Unkown;DATA\Attributes\Attribute #0 (Strength);;-1;FALSE;;;;;;;
Unkown;DATA\Attributes\Attribute #1 (Perception);;-1;FALSE;;;;;;;
Unkown;DATA\Attributes\Attribute #2 (Endurance);;-1;FALSE;;;;;;;
Unkown;DATA\Attributes\Attribute #3 (Charisma);;-1;FALSE;;;;;;;
Unkown;DATA\Attributes\Attribute #4 (Intelligence);;-1;FALSE;;;;;;;
Unkown;DATA\Attributes\Attribute #5 (Agility);;-1;FALSE;;;;;;;
Unkown;DATA\Attributes\Attribute #6 (Luck);;-1;FALSE;;;;;;;
Unkown;DATA\Combat Skill;;-1;FALSE;;;;;;;
Unkown;DATA\Damage;;-1;FALSE;;;;;;;
Unkown;DATA\Health;;-1;FALSE;;;;;;;
Unkown;DATA\Magic Skill;;-1;FALSE;;;;;;;
Unkown;DATA\Stealth Skill;;-1;FALSE;;;;;;;
Unkown;DATA\Type;;-1;FALSE;;;;;;;
Likely moved to RACE;EAMT;;-1;FALSE;;;;;;;
Unarmed attack animation Unknown;EITM;;-1;FALSE;;;;;;;
Gone;Factions\SNAM\Unused;;-1;FALSE;;;;;;;
Animations Unknown;KFFZ;;-1;FALSE;;;;;;;
Animations Unknown;KFFZ\Animation;;-1;FALSE;;;;;;;
Animations Unknown;KFFZ\Terminator;;-1;FALSE;;;;;;;
Melee Weapon List Unknown;LNAM;;-1;FALSE;;;;;;;
Likely moved to RACE;Model;;-1;FALSE;;;;;;;
Likely moved to RACE;Model\MODL;;-1;FALSE;;;;;;;
Impact Material Type Unknown;NAM4;;-1;FALSE;;;;;;;
;NAM5;NAM8;-1;FALSE;;;;;;;
Unknown Model List likely RACE;NIFT;;-1;FALSE;;;;;;;
Unknown Model List likely RACE;NIFZ;;-1;FALSE;;;;;;;
Unknown Model List likely RACE;NIFZ\Model;;-1;FALSE;;;;;;;
Unknown Model List likely RACE;NIFZ\Terminator;;-1;FALSE;;;;;;;
Likely RACE;PNAM;;-1;FALSE;;;;;;;
Gone;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;-1;FALSE;TRUE;;;;;;
Unknown;Sound Types;;-1;FALSE;;;;;;;
Unknown;Sound Types\Sound Type;;-1;FALSE;;;;;;;
Unknown;Sound Types\Sound Type\CSDT;;-1;FALSE;;;;;;;
Unknown;Sound Types\Sound Type\Sounds;;-1;FALSE;;;;;;;
Unknown;Sound Types\Sound Type\Sounds\Sound;;-1;FALSE;;;;;;;
Unknown;Sound Types\Sound Type\Sounds\Sound\CSDC;;-1;FALSE;;;;;;;
Unknown;Sound Types\Sound Type\Sounds\Sound\CSDI;;-1;FALSE;;;;;;;
