Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?;;
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag;;
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;;
;OBND;;;;;;;;;;;;;;;;;;
;OBND\X1;;;;;;;;;;;;;;;;;;
;OBND\Y1;;;;;;;;;;;;;;;;;;
;OBND\Z1;;;;;;;;;;;;;;;;;;
;OBND\X2;;;;;;;;;;;;;;;;;;
;OBND\Y2;;;;;;;;;;;;;;;;;;
;OBND\Z2;;;;;;;;;;;;;;;;;;
;FULL;;;;;;;;;;;;;;;;;;
;BMDT;;;;;ARMA;;;;BOD2;;;;;;;;;
;BMDT\Biped Flags;;;;;ARMA;;;;BOD2\First Person Flags;;0;;;TRUE;;;;
;BMDT\Biped Flags\Head;;;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Hair;;;;;ARMA;;;;BOD2\First Person Flags\30 - Hair Top;;;;1;;;TRUE;;
;BMDT\Biped Flags\Upper Body;;;;;ARMA;;;;BOD2\First Person Flags\36 - [U] Torso;;;;7;;;TRUE;;
;BMDT\Biped Flags\Left Hand;;;;;ARMA;;;;BOD2\First Person Flags\34 - L Hand;;;;5;;;TRUE;;
;BMDT\Biped Flags\Right Hand;;;;;ARMA;;;;BOD2\First Person Flags\35 - R Hand;;;;6;;;TRUE;;
;BMDT\Biped Flags\Weapon;;;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\PipBoy;;;;;ARMA;;;;BOD2\First Person Flags\60 - Pipboy;;;;31;;;TRUE;;
;BMDT\Biped Flags\Backpack;;;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Necklace;;;;;ARMA;;;;BOD2\First Person Flags\50 - Neck;;;;21;;;TRUE;;
;BMDT\Biped Flags\Headband;;;;;ARMA;;;;BOD2\First Person Flags\46 - Headband;;;;17;;;TRUE;;
;BMDT\Biped Flags\Hat;;;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Eye Glasses;;;;;ARMA;;;;BOD2\First Person Flags\47 - Eyes;;;;18;;;TRUE;;
;BMDT\Biped Flags\Nose Ring;;;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Earrings;;;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Mask;;;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Choker;;;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Mouth Object;;;;;ARMA;;;;BOD2\First Person Flags\49 - Mouth;;;;20;;;TRUE;;
;BMDT\Biped Flags\Body AddOn 1;;;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Body AddOn 2;;;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Body AddOn 3;;;;;;;;;;;;;;;;;;
;BMDT\General Flags;;;;;;;;;;;;;;;;;;
;BMDT\General Flags\1;;;;;;;;;;;;;;;;;;
;BMDT\General Flags\2;;;;;;;;;;;;;;;;;;
;BMDT\General Flags\Has Backpack;;;;;;;;;;;;;;;;;;
;BMDT\General Flags\Medium;;;;;;;;;;;;;;;;;;
;BMDT\General Flags\5;;;;;;;;;;;;;;;;;;
;BMDT\General Flags\Power Armor;;;;;;;;;;;;;;;;;;
;BMDT\General Flags\Non-Playable;;;;;;;;;;;;;;;;;;
;BMDT\General Flags\Heavy;;;;;;;;;;;;;;;;;;
Biped model now in arma;BMDT\Unused;;;;;;;;;;;;;;;;;;
;Male biped model;;;;;;;;;Male world model;;;;;;;;;
;Male biped model\MODL;;;;;;;;;Male world model\MOD2;File;File;;;;;;;Mistakenly called male world model in fo4edit
;Male biped model\MODT;;;;;;;;;Male world model\MO2T;;;;1;;;;;
;Male biped model\MODS;;;;;MSWP_1;;;;Return;;;;;;;;;
;;;;;;Return;;;;Male world model\MO2S;;;;2;;;;;
;;;;;;MSWP_1;;;;Material Substitutions;;;;;;;;;
;Male biped model\MODS\Alternate Texture;;;;;MSWP_1;;;;Material Substitutions\Substitution;;;;;;;;;
;Male biped model\MODS\Alternate Texture\3D Name;;;;;MSWP_1;;;;Material Substitutions\Substitution\BNAM;;;;0;;;;;
;Male biped model\MODS\Alternate Texture\New Texture;;;;;MSWP_1;;;;Material Substitutions\Substitution\SNAM;;;;1;;;;;
;Male biped model\MODS\Alternate Texture\3D Index;;;;;;;;;;;;;;;;;;
;Male biped model\MODD;;;;;;;;;;;;;;;;;;
;Male biped model\MODD\Head;;;;;;;;;;;;;;;;;;
;Male biped model\MODD\Torso;;;;;;;;;;;;;;;;;;
;Male biped model\MODD\Right Hand;;;;;;;;;;;;;;;;;;
;Male biped model\MODD\Left Hand;;;;;;;;;;;;;;;;;;
;Female biped model;;;;;;;;;Female world model;;;;;;;;;
;Female biped model\MOD3;;;;;;;;;Female world model\MOD3;File;File;;;;;;;
;Female biped model\MO3T;;;;;;;;;Female world model\MO3T;;;;1;;;;;
;Female biped model\MO3S;;;;;MSWP_2;;;;Return;;;;;;;;;
;;;;;;Return;;;;Female world model\MO3S;;;;2;;;;;
;;;;;;MSWP_2;;;;Material Substitutions;;;;;;;;;
;Female biped model\MO3S\Alternate Texture;;;;;MSWP_2;;;;Material Substitutions\Substitution;;;;;;;;;
;Female biped model\MO3S\Alternate Texture\3D Name;;;;;MSWP_2;;;;Material Substitutions\Substitution\BNAM;;;;0;;;;;
;Female biped model\MO3S\Alternate Texture\New Texture;;;;;MSWP_2;;;;Material Substitutions\Substitution\SNAM;;;;1;;;;;
;Female biped model\MO3S\Alternate Texture\3D Index;;;;;;;;;;;;;;;;;;
;Female biped model\MOSD;;;;;;;;;;;;;;;;;;
;Female biped model\MOSD\Head;;;;;;;;;;;;;;;;;;
;Female biped model\MOSD\Torso;;;;;;;;;;;;;;;;;;
;Female biped model\MOSD\Right Hand;;;;;;;;;;;;;;;;;;
;Female biped model\MOSD\Left Hand;;;;;;;;;;;;;;;;;;
In ARMO;ICON;;;;;;;;;;File;File;;;;;;;
In ARMO;MICO;;;;;;;;;;;;;;;;;;
In ARMO;DATA;;;;;;;;;;;;;;;;;;
In ARMO;DATA\Value;;;;;;;;;;;;;;;;;;
In ARMO;DATA\Max Condition;;;;;;;;;;;;;;;;;;
In ARMO;DATA\Weight;;;;;;;;;;;;;;;;;;
In ARMO;DNAM;;;;;;;;;;;;;;;;;;
In ARMO;DNAM\AR;;;;;;;;;;;;;;;;;;
In ARMO;DNAM\Flags;;;;;;;;;;;;;;;;;;
In ARMO;DNAM\Flags\Modulates Voice;;;;;;;;;;;;;;;;;;
In ARMO;DNAM\DT;;;;;;;;;;;;;;;;;;
In ARMO;DNAM\Unused;;;;;;;;;;;;;;;;;;
In ARMO;ICO2;;;;;;;;;;File;File;;;;;;;
In ARMO;MIC2;;;;;;;;;;;;;;;;;;
;ETYP;;;;;;;;;;;;;;;;;;
