Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\ESM;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
Repair List (No Repairing in FO4);REPL;;;;;;;;;;;;;;;;
;BMDT;;;;;ARMA;;;;BOD2;;;;;;;
;BMDT\Biped Flags;;;;;ARMA;;;;BOD2\First Person Flags;;0;;;TRUE;;
;BMDT\Biped Flags\Head;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Hair;;;;;ARMA;;;;BOD2\First Person Flags\30 - Hair Top;;;;1;;;TRUE
;BMDT\Biped Flags\Upper Body;;;;;ARMA;;;;BOD2\First Person Flags\36 - [U] Torso;;;;7;;;TRUE
;BMDT\Biped Flags\Left Hand;;;;;ARMA;;;;BOD2\First Person Flags\34 - L Hand;;;;5;;;TRUE
;BMDT\Biped Flags\Right Hand;;;;;ARMA;;;;BOD2\First Person Flags\35 - R Hand;;;;6;;;TRUE
;BMDT\Biped Flags\Weapon;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\PipBoy;;;;;ARMA;;;;BOD2\First Person Flags\60 - Pipboy;;;;31;;;TRUE
;BMDT\Biped Flags\Backpack;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Necklace;;;;;ARMA;;;;BOD2\First Person Flags\50 - Neck;;;;21;;;TRUE
;BMDT\Biped Flags\Headband;;;;;ARMA;;;;BOD2\First Person Flags\46 - Headband;;;;17;;;TRUE
;BMDT\Biped Flags\Hat;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Eye Glasses;;;;;ARMA;;;;BOD2\First Person Flags\47 - Eyes;;;;18;;;TRUE
;BMDT\Biped Flags\Nose Ring;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Earrings;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Mask;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Choker;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Mouth Object;;;;;ARMA;;;;BOD2\First Person Flags\49 - Mouth;;;;20;;;TRUE
;BMDT\Biped Flags\Body AddOn 1;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Body AddOn 2;;;;;;;;;;;;;;;;
;BMDT\Biped Flags\Body AddOn 3;;;;;;;;;;;;;;;;
;BMDT\General Flags;;;;;;;;;;;;;;;;
;BMDT\General Flags\1;;;;;;;;;;;;;;;;
;BMDT\General Flags\2;;;;;;;;;;;;;;;;
;BMDT\General Flags\Has Backpack;;;;;;;;;;;;;;;;
;BMDT\General Flags\Medium;;;;;;;;;;;;;;;;
;BMDT\General Flags\5;;;;;;;;;;;;;;;;
;BMDT\General Flags\Power Armor;;;;;;;;;;;;;;;;
;BMDT\General Flags\Non-Playable;;;;;;;;;;;;;;;;
;BMDT\General Flags\Heavy;;;;;;;;;;;;;;;;
Biped model now in arma;BMDT\Unused;;;;;;;;;;;;;;;;
;Male biped model;;;;;;;;;Models;;;;;;;
;;;;;;;;;;Models\Model;;;;0;;;
;;;;;;ARMA;;;;Return;;;;;;;
;;;;;;Return;;;;Models\Model\MODL;;;;1;;;
;;;;;;ARMA;;;;Male world model;;;;;;;
;Male biped model;;;;;ARMA;;;;Male world model;;;;;;;
;Male biped model\MODL;;;;;ARMA;;;;Male world model\MOD2;File;File;;;;;
;Male biped model\MODT;;;;;ARMA;;;;Male world model\MO2T;;;;1;;;
;Male biped model\MODS;;;;;ARMA\MSWP_1;;;;Return;;;;;;;
;;;;;;ARMA\Return;;;;Male world model\MO2S;;;;2;;;
;;;;;;ARMA\MSWP_1;;;;Material Substitutions;;;;;;;
;Male biped model\MODS\Alternate Texture;;;;;ARMA\MSWP_1;;;;Material Substitutions\Substitution;;;;;;;
;Male biped model\MODS\Alternate Texture\3D Name;;;;;ARMA\MSWP_1;;;;Material Substitutions\Substitution\BNAM;;;;0;;;
;Male biped model\MODS\Alternate Texture\New Texture;;;;;ARMA\MSWP_1;;;;Material Substitutions\Substitution\SNAM;;;;1;;;
;Male biped model\MODS\Alternate Texture\3D Index;;;;;ARMA;;;;;;;;;;;
;Male biped model\MODD;;;;;ARMA;;;;;;;;;;;
;Male biped model\MODD\Head;;;;;ARMA;;;;;;;;;;;
;Male biped model\MODD\Torso;;;;;ARMA;;;;;;;;;;;
;Male biped model\MODD\Right Hand;;;;;ARMA;;;;;;;;;;;
;Male biped model\MODD\Left Hand;;;;;ARMA;;;;;;;;;;;
;Female biped model;;;;;;;;;Models;;;;;;;
;;;;;;;;;;Models\Model;;;;0;;;
;;;;;;ARMA;;;;Return;;;;;;;
;;;;;;Return;;;;Models\Model\MODL;;;;1;;;
;;;;;;ARMA;;;;Female world model;;;;;;;
;Female biped model;;;;;ARMA;;;;Female world model;;;;;;;
