Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Model\MODL;;;;;;;;;Model\MODL;File;File;;;;;
;Body Parts\Body Part\BPTN;;;;;;;;;;;;;;;;
;Body Parts\Body Part\BPNI;;;;;;;;;;;;;;;;
;Body Parts\Body Part\BPND;;;;;;;;;Body Parts\Body Part\BPND;;;;3;;;
;Body Parts\Body Part\BPND\Flags;;;;;;;;;Body Parts\Body Part\BPND\Flags;;0;;;TRUE;;
;Body Parts\Body Part\BPND\Flags\Severable;;;;;;;;;Body Parts\Body Part\BPND\Flags\Severable;;;;1;;;TRUE
;Body Parts\Body Part\BPND\Flags\IK Data;;;;;;;;;;;;;;;;
;Body Parts\Body Part\BPND\Flags\IK Data - Biped Data;;;;;;;;;;;;;;;;
;Body Parts\Body Part\BPND\Flags\Explodable;;;;;;;;;Body Parts\Body Part\BPND\Flags\Explodable;;;;4;;;TRUE
;Body Parts\Body Part\BPND\Flags\IK Data - Is Head;;;;;;;;;;;;;;;;
;Body Parts\Body Part\BPND\Flags\IK Data - Headtracking;;;;;;;;;;;;;;;;
;Body Parts\Body Part\BPND\Flags\To Hit Chance - Absolute;;;;;;;;;;;;;;;;
;Body Parts\Body Part\BPND\Part Type;;;;;;;;;Body Parts\Body Part\BPND\Part Type;Head 1;Head1;;;;;
;;;;;;;;;;;Head 2;Head2;;;;;
;;;;;;;;;;;Left Arm 1;LeftArm1;;;;;
;;;;;;;;;;;Left Arm 2;LeftArm2;;;;;
;;;;;;;;;;;Left Leg 1;LeftLeg1;;;;;
;;;;;;;;;;;Left Leg 2;LeftLeg2;;;;;
;;;;;;;;;;;Left Leg 3;LeftLeg3;;;;;
;;;;;;;;;;;Right Arm 1;RightArm1;;;;;
;;;;;;;;;;;Right Arm 2;RightArm2;;;;;
;;;;;;;;;;;Right Leg 1;RightLeg1;;;;;
;;;;;;;;;;;Right Leg 2;RightLeg2;;;;;
