Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
Changed to vmad;SCRI;;;;;;;;;;;;;-1;;;
;Record Header\Record Flags\ESM;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;Record Header\Record Flags\Has Distant LOD;;;;16;;;TRUE
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;Record Header\Record Flags\Random Anim Start;;;;17;;;TRUE
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;Record Header\Record Flags\Obstacle;;;;26;;;TRUE
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;Record Header\Record Flags\NavMesh Generation - Filter;;;;27;;;TRUE
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;28;;;TRUE
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;Record Header\Record Flags\NavMesh Generation - Ground;;;;31;;;TRUE
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
;DATA\Flags;;;;;;;;;DATA\Flags;;0;;;TRUE;;
;DATA\Flags\Respawns;;;;;;;;;DATA\Flags\Respawns;;;;2;;;TRUE
;Items\Item\COED\Global Variable / Required Rank;;;;;;;;;;;;;;;;
;Destructable;;;;;;;;;Destructible;;;;;;;
;Destructable\DEST;;;;;;;;;Destructible\DEST;;;;;;;
;Destructable\DEST\Count;;;;;;;;;Destructible\DEST\DEST Count;;;;;;;
;Destructable\DEST\Health;;;;;;;;;Destructible\DEST\Health;;;;;;;
;Destructable\DEST\Unused;;;;;;;;;Destructible\DEST\Unknown;;;;;;;
;Destructable\Stages;;;;;;;;;Destructible\Stages;;;;2;;;
;Destructable\Stages\Stage\Model;;;;;;;;;Destructible\Stages\Stage\Model;;;;2;;;
;Destructable\Stages\Stage\DSTD\Damage Stage;;;;;;;;;Destructible\Stages\Stage\DSTD\Model Damage Stage;;;;;;;
Still need to set flag;Destructable\DEST\Flags;;;;;;;;;Destructible\DEST\Flags;;;;;;;
;Destructable\DEST\Flags\VATS Targetable;;;;;;;;;Destructible\DEST\Flags\VATS Targetable;;;;;;;
;Destructable\DEST\Unused;;;;;;;;;Destructible\DEST\Unused;;;;;;;
;Destructable\Stages\Stage;;;;;;;;;Destructible\Stages\Stage;;;;;;;
;Destructable\Stages\Stage\DSTD;;;;;;;;;Destructible\Stages\Stage\DSTD;;;;;;;
;Destructable\Stages\Stage\DSTD\Health %;;;;;;;;;Destructible\Stages\Stage\DSTD\Health %;;;;;;;
;Destructable\Stages\Stage\DSTD\Index;;;;;;;;;Destructible\Stages\Stage\DSTD\Index;;;;;;;
;Destructable\Stages\Stage\DSTD\Flags;;;;;;;;;Destructible\Stages\Stage\DSTD\Flags;;;;;;;
;Destructable\Stages\Stage\DSTD\Flags\Cap Damage;;;;;;;;;Destructible\Stages\Stage\DSTD\Flags\Cap Damage;;;;;;;
;Destructable\Stages\Stage\DSTD\Flags\Disable;;;;;;;;;Destructible\Stages\Stage\DSTD\Flags\Disable;;;;;;;
;Destructable\Stages\Stage\DSTD\Flags\Destroy;;;;;;;;;Destructible\Stages\Stage\DSTD\Flags\Destroy;;;;;;;
;Destructable\Stages\Stage\DSTD\Self Damage per Second;;;;;;;;;Destructible\Stages\Stage\DSTD\Self Damage per Second;;;;;;;
;Destructable\Stages\Stage\DSTD\Explosion;;;;;;;;;Destructible\Stages\Stage\DSTD\Explosion;;;;;;;
;Destructable\Stages\Stage\DSTD\Debris;;;;;;;;;Destructible\Stages\Stage\DSTD\Debris;;;;;;;
;Destructable\Stages\Stage\DSTD\Debris Count;;;;;;;;;Destructible\Stages\Stage\DSTD\Debris Count;;;;;;;
;Destructable\Stages\Stage\Model;;;;;;;;;Destructible\Stages\Stage\Model;;;;;;;
;Destructable\Stages\Stage\Model\DMDL;;;;;;;;;Destructible\Stages\Stage\Model\DMDL;File;File;;;;;
;Destructable\Stages\Stage\Model\DMDT;;;;;;;;;Destructible\Stages\Stage\Model\DMDT;;;;;;;
;Destructable\Stages\Stage\DSTF;;;;;;;;;Destructible\Stages\Stage\DSTF;;;;3;;;
Radio Station;RNAM;;;;;;;;;;;;;;;;
;Model\MODL;;;;;;;;;Model\MODL;File;File;;;;;
