Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
1;Record Header\Record Flags\ESM;;;;;;;;;;;;;;;;
4;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
6;Record Header\Record Flags\Deleted;;;;;;;;;;;;;;;;
7;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
8;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
9;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
10;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
11;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
12;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
13;Record Header\Record Flags\Ignored;;;;;;;;;;;;;;;;
14;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
15;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
16;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
17;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
18;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
19;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
20;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
21;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
22;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
23;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
24;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
25;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
26;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
27;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
28;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
29;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
30;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
31;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
32;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
;CSTD;;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Dodge % Chance;;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Left/Right % Chance;;;;;;;;;;;;;;;;
;CSTD\Unused;;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Dodge L/R Timer (min);;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Dodge L/R Timer (max);;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Dodge Forward Timer (min);;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Dodge Forward Timer (max);;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Dodge Back Timer Min;;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Dodge Back Timer Max;;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Idle Timer min;;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Idle Timer max;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Block % Chance;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Attack % Chance;;;;;;;;;;;;;;;;
;CSTD\Unused;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Recoil/Stagger Bonus to Attack;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Unconscious Bonus to Attack;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Hand-To-Hand Bonus to Attack;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Power Attacks - Power Attack % Chance;;;;;;;;;;;;;;;;
;CSTD\Unused;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Power Attacks - Recoil/Stagger Bonus to Power;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Power Attacks - Unconscious Bonus to Power Attack;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Power Attacks - Normal;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Power Attacks - Forward;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Power Attacks - Back;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Power Attacks - Left;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Power Attacks - Right;;;;;;;;;;;;;;;;
;CSTD\Unused;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Hold Timer (min);;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Hold Timer (max);;;;;;;;;;;;;;;;
;CSTD\Flags;;;;;;;;;;;;;;;;
;CSTD\Flags\Choose Attack using % Chance;;;;;;;;;;;;;;;;
;CSTD\Flags\Melee Alert OK;;;;;;;;;;;;;;;;
;CSTD\Flags\Flee Based on Personal Survival;;;;;;;;;;;;;;;;
;CSTD\Flags\Ignore Threats;;;;;;;;;;;;;;;;
;CSTD\Flags\Ignore Damaging Self;;;;;;;;;;;;;;;;
;CSTD\Flags\Ignore Damaging Group;;;;;;;;;;;;;;;;
;CSTD\Flags\Ignore Damaging Spectators;;;;;;;;;;;;;;;;
;CSTD\Flags\Cannot Use Stealthboy;;;;;;;;;;;;;;;;
;CSTD\Unused;;;;;;;;;;;;;;;;
;CSTD\Maneuver Decision - Acrobatic Dodge % Chance;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Power Attacks - Rushing Attack % Chance;;;;;;;;;;;;;;;;
;CSTD\Unused;;;;;;;;;;;;;;;;
;CSTD\Melee Decision - Power Attacks - Rushing Attack Distance Mult;;;;;;;;;;;;;;;;
;CSAD;;;;;;;;;;;;;;;;
;CSAD\Dodge Fatigue Mod Mult;;;;;;;;;;;;;;;;
;CSAD\Dodge Fatigue Mod Base;;;;;;;;;;;;;;;;
;CSAD\Encumb. Speed Mod Base;;;;;;;;;;;;;;;;
;CSAD\Encumb. Speed Mod Mult;;;;;;;;;;;;;;;;
;CSAD\Dodge While Under Attack Mult;;;;;;;;;;;;;;;;
;CSAD\Dodge Not Under Attack Mult;;;;;;;;;;;;;;;;
;CSAD\Dodge Back While Under Attack Mult;;;;;;;;;;;;;;;;
;CSAD\Dodge Back Not Under Attack Mult;;;;;;;;;;;;;;;;
;CSAD\Dodge Forward While Attacking Mult;;;;;;;;;;;;;;;;
;CSAD\Dodge Forward Not Attacking Mult;;;;;;;;;;;;;;;;
;CSAD\Block Skill Modifier Mult;;;;;;;;;;;;;;;;
;CSAD\Block Skill Modifier Base;;;;;;;;;;;;;;;;
;CSAD\Block While Under Attack Mult;;;;;;;;;;;;;;;;
;CSAD\Block Not Under Attack Mult;;;;;;;;;;;;;;;;
;CSAD\Attack Skill Modifier Mult;;;;;;;;;;;;;;;;
;CSAD\Attack Skill Modifier Base;;;;;;;;;;;;;;;;
