Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
;iIAD;;;;;;;;;;;;;;;;
;kIAD;;;;;;;;;;;;;;;;
;mIAD;;;;;;;;;;;;;;;;
;nIAD;;;;;;;;;;;;;;;;
;oIAD;;;;;;;;;;;;;;;;
;pIAD;;;;;;;;;;;;;;;;
;qIAD;;;;;;;;;;;;;;;;
;jIAD;;;;;;;;;;;;;;;;
;lIAD;;;;;;;;;;;;;;;;
;uIAD;;;;;;;;;;;;;;;;
;RDSD;;;;;;;;;;;;;;;;
;RDSI;;;;;;;;;;;;;;;;
;DNAM\Flags;;;;;;;;;DNAM\Flags;;0;;;TRUE;;
;DNAM\Flags\Animatable;;;;;;;;;DNAM\Flags\Animatable;;;;1;;;TRUE
;BNAM\Data #0;;;;;;;;;BNAM\Data #0;;;;;;;
;VNAM\Data #0;;;;;;;;;VNAM\Data #0;;;;;;;
;TNAM\Data #0;;;;;;;;;TNAM\Data #0;;;;;;;
;NAM3\Data #0;;;;;;;;;NAM3\Data #0;;;;;;;
;RNAM;;;;;;;;;Radial Blur;;;;;;;
;;;;;;;;;;Radial Blur\RNAM;;;;0;;;
;RNAM\Data #0;;;;;;;;;Radial Blur;;;;;;;
;;;;;;;;;;Radial Blur\RNAM;;;;0;;;
;;;;;;;;;;Radial Blur\RNAM\Data #0;;;;2147483647;;;
;SNAM;;;;;;;;;Radial Blur;;;;;;;
;;;;;;;;;;Radial Blur\SNAM;;;;1;;;
;SNAM\Data #0;;;;;;;;;Radial Blur\SNAM\Data #0;;;;2147483647;;;
;UNAM;;;;;;;;;Radial Blur;;;;;;;
;;;;;;;;;;Radial Blur\UNAM;;;;2;;;
;UNAM\Data #0;;;;;;;;;Radial Blur\UNAM\Data #0;;;;2147483647;;;
;NAM1;;;;;;;;;Radial Blur;;;;;;;
;;;;;;;;;;Radial Blur\NAM1;;;;3;;;
;NAM1\Data #0;;;;;;;;;Radial Blur\NAM1\Data #0;;;;2147483647;;;
;NAM2;;;;;;;;;Radial Blur;;;;;;;
;;;;;;;;;;Radial Blur\NAM2;;;;4;;;
;NAM2\Data #0;;;;;;;;;Radial Blur\NAM2\Data #0;;;;2147483647;;;
;WNAM;;;;;;;;;Depth of Field;;;;;;;
;;;;;;;;;;Depth of Field\WNAM;;;;0;;;
;WNAM\Data #0;;;;;;;;;Depth of Field;;;;;;;
;;;;;;;;;;Depth of Field\WNAM;;;;0;;;
;;;;;;;;;;Depth of Field\WNAM\Data #0;;;;2147483647;;;
;XNAM;;;;;;;;;Depth of Field;;;;;;;
;;;;;;;;;;Depth of Field\XNAM;;;;1;;;
;XNAM\Data #0;;;;;;;;;Depth of Field;;;;;;;
;;;;;;;;;;Depth of Field\XNAM;;;;1;;;
;;;;;;;;;;Depth of Field\XNAM\Data #0;;;;2147483647;;;
;YNAM;;;;;;;;;Depth of Field;;;;;;;
;;;;;;;;;;Depth of Field\YNAM;;;;2;;;
;YNAM\Data #0;;;;;;;;;Depth of Field;;;;;;;
;;;;;;;;;;Depth of Field\YNAM;;;;2;;;
;;;;;;;;;;Depth of Field\YNAM\Data #0;;;;2147483647;;;
;NAM4\Data #0;;;;;;;;;NAM4\Data #0;;;;;;;
;RNAM\Data #0\Time;;;;;;;;;Radial Blur\RNAM\Data #0\Time;;;;;;;
;SNAM\Data #0\Time;;;;;;;;;Radial Blur\SNAM\Data #0\Time;;;;;;;
;UNAM\Data #0\Time;;;;;;;;;Radial Blur\UNAM\Data #0\Time;;;;;;;
;NAM1\Data #0\Time;;;;;;;;;Radial Blur\NAM1\Data #0\Time;;;;;;;
;NAM2\Data #0\Time;;;;;;;;;Radial Blur\NAM2\Data #0\Time;;;;;;;
;RNAM\Data #0\Value;;;;;;;;;Radial Blur\RNAM\Data #0\Value;;;;;;;
;SNAM\Data #0\Value;;;;;;;;;Radial Blur\SNAM\Data #0\Value;;;;;;;
;UNAM\Data #0\Value;;;;;;;;;Radial Blur\UNAM\Data #0\Value;;;;;;;
;NAM1\Data #0\Value;;;;;;;;;Radial Blur\NAM1\Data #0\Value;;;;;;;
;NAM2\Data #0\Value;;;;;;;;;Radial Blur\NAM2\Data #0\Value;;;;;;;
;HDR\aIAD\Data #0;;;;;;;;;HDR\aIAD\Data #0;;;;;;;
;HDR\@IAD\Data #0;;;;;;;;;HDR\@IAD\Data #0;;;;;;;
;HDR\bIAD\Data #0;;;;;;;;;HDR\bIAD\Data #0;;;;;;;
;HDR\AIAD\Data #0;;;;;;;;;HDR\AIAD\Data #0;;;;;;;
;HDR\cIAD\Data #0;;;;;;;;;HDR\cIAD\Data #0;;;;;;;
