Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
;DATA\Fog Color;;;;;;;;;DATA\Fog Color Near;;;;;;;
;DATA\Fog Color\Red;;;;;;;;;DATA\Fog Color High Near\Red;;;;;;;
;;;;;;;;;;DATA\Fog Color Near\Red;;;;;;;
;;;;;;;;;;DATA\Fog Color Far\Red;;;;;;;
;;;;;;;;;;DATA\Fog Color High Far\Red;;;;;;;
;DATA\Fog Color\Green;;;;;;;;;DATA\Fog Color Near\Green;;;;;;;
;;;;;;;;;;DATA\Fog Color Far\Green;;;;;;;
;;;;;;;;;;DATA\Fog Color High Far\Green;;;;;;;
;;;;;;;;;;DATA\Fog Color High Near\Green;;;;;;;
;DATA\Fog Color\Blue;;;;;;;;;DATA\Fog Color Near\Blue;;;;;;;
;;;;;;;;;;DATA\Fog Color Far\Blue;;;;;;;
;;;;;;;;;;DATA\Fog Color High Near\Blue;;;;;;;
;;;;;;;;;;DATA\Fog Color High Far\Blue;;;;;;;
;DATA\Fog Color\Unused;;;;;;;;;DATA\Fog Color Near\Unused;;;;;;;
;;;;;;;;;;DATA\Fog Color Far\Unused;;;;;;;
;;;;;;;;;;DATA\Fog Color High Near\Unused;;;;;;;
;;;;;;;;;;DATA\Fog Color High Far\Unused;;;;;;;
;DATA\Fog Near;;;;;;;;;DATA\Fog Near;;;;;;;
;DATA\Fog Far;;;;;;;;;DATA\Fog Far;;;;;;;
;DATA\Directional Rotation XY;;;;;;;;;DATA\Directional Rotation XY;;;;;;;
;DATA\Directional Rotation Z;;;;;;;;;DATA\Directional Rotation Z;;;;;;;
;DATA\Directional Fade;;;;;;;;;DATA\Directional Fade;;;;;;;
;DATA\Fog Clip Dist;;;;;;;;;DATA\Fog Clip Distance;;;;;;;
;DATA\Fog Power;;;;;;;;;DATA\Fog Power;;;;;;;
