Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
Version Probably dont need;NVER;;;;;;;;;;;;;;;;
Gone;NVER;;;;;;;;;;;;;;;;
Gone;DATA;;;;;;;;;;;;;;;;
Gone;DATA\Cell;;;;;;;;;;;;;;;;
Gone;DATA\Vertex Count;;;;;;;;;;;;;;;;
Gone;DATA\Triangle Count;;;;;;;;;;;;;;;;
Gone;DATA\External Connections Count;;;;;;;;;;;;;;;;
Gone;DATA\NVCA Count;;;;;;;;;;;;;;;;
Gone;DATA\Doors Count;;;;;;;;;;;;;;;;
Vertices got combined with Triangles;NVVX;;;;;;;;;;;;;;;;
Vertices got combined with Triangles;NVTR;;;;;;;;;;;;;;;;
Gone;NVDP;;;;;;;;;;;;;;;;
Gone;NVDP\Door #0;;;;;;;;;;;;;;;;
Gone;NVDP\Door #0\Reference;;;;;;;;;;;;;;;;
Gone;NVDP\Door #0\Triangle;;;;;;;;;;;;;;;;
Gone;NVDP\Door #0\Unused;;;;;;;;;;;;;;;;
Gone;NVGD;;;;;;;;;;;;;;;;
Gone;NVEX;;;;;;;;;;;;;;;;
Gone;NVCA;;;;;;;;;;;;;;;;
