Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\ESM;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;Record Header\Record Flags\Compressed;;;;19;;;TRUE
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
;EDID;;;;;;;;;EDID;;;;;;;
Attack Reach in CREA. RACE in NPC_;;;;;;RACE;;;;Return;;;;;;;
;;;;;;Return;;;;RNAM;;;;;;;
;;;;;;RACE;;;;VTCK;;;;;;;
;;;;;;RACE;;;;VTCK\Voice #0 (Male);;_NPC_NoLines [VTYP:F407C61A];;;TRUE;;
;;;;;;RACE;;;;VTCK\Voice #1 (Female);;_NPC_NoLines [VTYP:F407C61A];;;TRUE;;
;;;;;;CLAS;;;;Return;;;;;;;
;;;;;;Return;;;;CNAM;;;;;;;
;;;;;;CLAS;;;;PRPS;;;;;;;
;;;;;;CLAS;;;;PRPS\Property;;;;2147483647;;;
;;;;;;CLAS;;;;PRPS\Property\Value;;0;;1;TRUE;;
;;;;;;CLAS;;;;PRPS\Property\Actor Value;;"Strength ""Strength"" [AVIF:F40002C2]";;0;TRUE;;
;;;;;;CLAS;;;;PRPS\Property;;;;2147483647;;;
;;;;;;CLAS;;;;PRPS\Property\Value;;0;;1;TRUE;;
;;;;;;CLAS;;;;PRPS\Property\Actor Value;;"Perception ""Perception"" [AVIF:F40002C3]";;0;TRUE;;
;;;;;;CLAS;;;;PRPS\Property;;;;2147483647;;;
;;;;;;CLAS;;;;PRPS\Property\Value;;0;;1;TRUE;;
;;;;;;CLAS;;;;PRPS\Property\Actor Value;;"Endurance ""Endurance"" [AVIF:F40002C4]";;0;TRUE;;
;;;;;;CLAS;;;;PRPS\Property;;;;2147483647;;;
;;;;;;CLAS;;;;PRPS\Property\Value;;0;;1;TRUE;;
;;;;;;CLAS;;;;PRPS\Property\Actor Value;;"Charisma ""Charisma"" [AVIF:F40002C5]";;0;TRUE;;
;;;;;;CLAS;;;;PRPS\Property;;;;2147483647;;;
;;;;;;CLAS;;;;PRPS\Property\Value;;0;;1;TRUE;;
;;;;;;CLAS;;;;PRPS\Property\Actor Value;;"Intelligence ""Intelligence"" [AVIF:F40002C6]";;0;TRUE;;
;;;;;;CLAS;;;;PRPS\Property;;;;2147483647;;;
;;;;;;CLAS;;;;PRPS\Property\Value;;0;;1;TRUE;;
;;;;;;CLAS;;;;PRPS\Property\Actor Value;;"Agility ""Agility"" [AVIF:F40002C7]";;0;TRUE;;
;;;;;;CLAS;;;;PRPS\Property;;;;2147483647;;;
;;;;;;CLAS;;;;PRPS\Property\Value;;0;;1;TRUE;;
;;;;;;CLAS;;;;PRPS\Property\Actor Value;;"Luck ""Luck"" [AVIF:F40002C8]";;0;TRUE;;
;FULL;;;;;;;;;FULL;;;;;;;
;;;;;;CLAS;;;;FULL;;;;;;;
;VTCK;;;;;;;;;VTCK;;;;;;;
;;;;;;RACE;;;;VTCK;;;;;;;
;;;;;;RACE;;;;VTCK\Voice #0 (Male);;;;;;;
;;;;;;RACE;;;;VTCK\Voice #1 (Female);;;;;;;
Unknown;ACBS\Barter gold;;;;;;;;;;;;;;;;
;ACBS\Calc max;;;;;;;;;ACBS\Calc max level;;;;;;;
;ACBS\Calc min;;;;;;;;;ACBS\Calc min level;;;;;;;
Unknown;ACBS\Fatigue;;;;;;;;;;;;;;;;
;ACBS\Flags;;;;;;;;;ACBS\Flags;;0;;;TRUE;;
Moved to RACE;ACBS\Flags\Allow PC Dialogue;;;;;;;;;;;;;;;;TRUE
Moved to RACE;ACBS\Flags\Allow Pickpocket;;;;;;;;;;;;;;;;TRUE
Moved to RACE;ACBS\Flags\Can't Open Doors;;;;;;;;;;;;;;;;TRUE
Moved to RACE;ACBS\Flags\Flies;;;;;;;;;;;;;;;;TRUE
;ACBS\Flags\Essential;;;;;;;;;ACBS\Flags\Essential;;;;2;;;TRUE
Unknown;ACBS\Flags\No Low Level Processing;;;;;;;;;;;;;;;;
;ACBS\Flags\Respawn;;;;;;;;;ACBS\Flags\Respawn;;;;4;;;TRUE
Moved to RACE;ACBS\Flags\Swims;;;;;;;;;;;;;;;;
Moved to RACE;ACBS\Flags\Tilt Front/Back;;;;;;;;;;;;;;;;
Moved to RACE;ACBS\Flags\Tilt Left/Right;;;;;;;;;;;;;;;;
Moved to RACE;ACBS\Flags\Walks;;;;;;;;;;;;;;;;
Unknown;ACBS\Flags\Weapon & Shield?;;;;;;;;;;;;;;;;
;ACBS\Flags\Unknown 8;;;;;;;;;;;;;;;;
;ACBS\Flags\No Head;;;;;;;;;;;;;;;;
;ACBS\Flags\No Right Arm;;;;;;;;;;;;;;;;
;ACBS\Flags\No Left Arm;;;;;;;;;;;;;;;;
;ACBS\Flags\Immobile;;;;;;;;;;;;;;;;
