Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?;;
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag;;
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;;
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE;;
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE;;
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;;;
;DATA;;;;;;;;;DNAM;;;;;;;;;
;DATA\Flags;;;;;;;;;DNAM\Flags;;0;;;TRUE;;;;
;DATA\Flags\Hitscan;;;;;;;;;DNAM\Flags\Hitscan;;;;1;;;TRUE;11;DNAM\Flags\Disable Combat Aim Correction
;DATA\Flags\Explosion;;;;;;;;;DNAM\Flags\Explosion;;;;2;;;TRUE;12;DNAM\Flags\Penetrates Geometry
;DATA\Flags\Alt. Trigger;;;;;;;;;DNAM\Flags\Alt. Trigger;;;;3;;;TRUE;13;DNAM\Flags\Continuous Update
;DATA\Flags\Muzzle Flash;;;;;;;;;DNAM\Flags\Muzzle Flash;;;;4;;;TRUE;14;DNAM\Flags\Seeks Target
;DATA\Flags\Can Be Disabled;;;;;;;;;DNAM\Flags\Can Be Disabled;;;;6;;;TRUE;;
;DATA\Flags\Can Be Picked Up;;;;;;;;;DNAM\Flags\Can Be Picked Up;;;;7;;;TRUE;;
;DATA\Flags\Supersonic;;;;;;;;;DNAM\Flags\Supersonic;;;;8;;;TRUE;;
;DATA\Flags\Pins Limbs;;;;;;;;;DNAM\Flags\Pins Limbs;;;;9;;;TRUE;;
;DATA\Flags\Pass Through Small Transparent;;;;;;;;;DNAM\Flags\Pass Through Small Transparent;;;;10;;;TRUE;;
;DATA\Flags\Detonates;;;;;;;;;;;;;;;;;;
;DATA\Flags\Rotation;;;;;;;;;;;;;;;;;;
;DATA\Type;;;;;;;;;DNAM\Type;Continuous Beam;Beam;;;;;;;
;DATA\Gravity;;;;;;;;;DNAM\Gravity;;;;;;;;;
;DATA\Speed;;;;;;;;;DNAM\Speed;;;;;;;;;
;DATA\Range;;;;;;;;;DNAM\Range;;;;;;;;;
;DATA\Light;;;;;;;;;DNAM\Light;;;;;;;;;
;DATA\Muzzle Flash - Light;;;;;;;;;DNAM\Muzzle Flash - Light;;;;;;;;;
;DATA\Tracer Chance;;;;;;;;;;;;;;;;;;
;DATA\Explosion - Alt. Trigger - Proximity;;;;;;;;;DNAM\Explosion - Alt. Trigger - Proximity;;;;;;;;;
;DATA\Explosion - Alt. Trigger - Timer;;;;;;;;;DNAM\Explosion - Alt. Trigger - Timer;;;;;;;;;
;DATA\Explosion;;;;;;;;;DNAM\Explosion;;;;;;;;;
;DATA\Sound;;;;;;;;;DNAM\Sound;;;;;;;;;
;DATA\Muzzle Flash - Duration;;;;;;;;;DNAM\Muzzle Flash - Duration;;;;;;;;;
;DATA\Fade Duration;;;;;;;;;DNAM\Fade Duration;;;;;;;;;
;DATA\Impact Force;;;;;;;;;DNAM\Impact Force;;;;;;;;;
;DATA\Sound - Countdown;;;;;;;;;DNAM\Sound - Countdown;;;;;;;;;
;DATA\Sound - Disable;;;;;;;;;DNAM\Sound - Disable;;;;;;;;;
;DATA\Default Weapon Source;;;;;;;;;DNAM\Default Weapon Source;;;;;;;;;
;DATA\Rotation;;;;;;;;;;;;;;;;;;
;DATA\Rotation\X;;;;;;;;;;;;;;;;;;
;DATA\Rotation\Y;;;;;;;;;;;;;;;;;;
;DATA\Rotation\Z;;;;;;;;;;;;;;;;;;
;DATA\Bouncy Mult;;;;;;;;;;;;;;;;;;
;Destructable;;;;;;;;;Destructible;;;;;;;;;
;Destructable\DEST;;;;;;;;;Destructible\DEST;;;;;;;;;
;Destructable\DEST\Count;;;;;;;;;Destructible\DEST\DEST Count;;;;;;;;;
;Destructable\DEST\Health;;;;;;;;;Destructible\DEST\Health;;;;;;;;;
;Destructable\DEST\Unused;;;;;;;;;Destructible\DEST\Unknown;;;;;;;;;
;Destructable\Stages;;;;;;;;;Destructible\Stages;;;;2;;;;;
;Destructable\Stages\Stage\Model;;;;;;;;;Destructible\Stages\Stage\Model;;;;2;;;;;
;Destructable\Stages\Stage\DSTD\Damage Stage;;;;;;;;;Destructible\Stages\Stage\DSTD\Model Damage Stage;;;;;;;;;
Still need to set flag;Destructable\DEST\Flags;;;;;;;;;Destructible\DEST\Flags;;;;;;;;;
;Destructable\DEST\Flags\VATS Targetable;;;;;;;;;Destructible\DEST\Flags\VATS Targetable;;;;;;;;;
;Destructable\DEST\Unused;;;;;;;;;Destructible\DEST\Unused;;;;;;;;;
;Destructable\Stages\Stage;;;;;;;;;Destructible\Stages\Stage;;;;;;;;;
;Destructable\Stages\Stage\DSTD;;;;;;;;;Destructible\Stages\Stage\DSTD;;;;;;;;;
;Destructable\Stages\Stage\DSTD\Health %;;;;;;;;;Destructible\Stages\Stage\DSTD\Health %;;;;;;;;;
