Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Conditions;;;;;;;;;Conditions;;;;2;;;
;Conditions\CTDA;;;;;;;;;Conditions\Condition;;;;;;;
;;;;;;;;;;Conditions\Condition\CTDA;;;;0;;;
conversion found in __fnvfunctionsmissing.csv GetWantBlocking Only in fo4;Conditions\CTDA\Function;;;;;;;;;Conditions\Condition\CTDA\Function;ChallengeLocked;;;3;;;
;;;;;;;;;;;GetActorFactionPlayerEnemy;GetFactionReaction;;;;;
;;;;;;;;;;;GetActorValue;GetValue;;;;;
;;;;;;;;;;;GetAnimAction;;;;;;
;;;;;;;;;;;GetArmorRating;;;;;;
;;;;;;;;;;;GetArmorRatingUpperBody;;;;;;
;;;;;;;;;;;GetBarterGold;;;;;;
;;;;;;;;;;;GetBaseActorValue;GetBaseValue;;;;;
;;;;;;;;;;;GetCasinoWinningStage;;;;;;
;;;;;;;;;;;GetChallengeCompleted;;;;;;
;;;;;;;;;;;GetDetectionLevel;;;;;;
;;;;;;;;;;;GetDialogueEmotion;;;;;;
;;;;;;;;;;;GetDialogueEmotionValue;;;;;;
;;;;;;;;;;;GetDisposition;;;;;;
;;;;;;;;;;;GetFatiguePercentage;;;;;;
;;;;;;;;;;;GetForceHitReaction;;;;;;
;;;;;;;;;;;GetHasNote;;;;;;
;;;;;;;;;;;GetMajorCrimeCount;;;;;;
;;;;;;;;;;;GetMinorCrimeCount;;;;;;
;;;;;;;;;;;GetPCInFaction;;;;;;
;;;;;;;;;;;GetPCIsClass;;;;;;
;;;;;;;;;;;GetPCIsRace;;;;;;
;;;;;;;;;;;GetPCIsSex;;;;;;
;;;;;;;;;;;GetPermanentActorValue;GetPermanentValue;;;;;
;;;;;;;;;;;GetPlayerControlsDisabled;;;;;;
;;;;;;;;;;;GetPlayerHasLastRiddenHorse;IsPlayersLastRiddenMount;;;;;
;;;;;;;;;;;GetQuestVariable;GetVMQuestVariable;;;;;
;;;;;;;;;;;GetRadiationLevel;;;;;;
;;;;;;;;;;;GetReputation;;;;;;
;;;;;;;;;;;GetReputationPct;;;;;;
;;;;;;;;;;;GetReputationThreshold;;;;;;
;;;;;;;;;;;GetSandman;;;;;;
;;;;;;;;;;;GetScriptVariable;;;;;;
;;;;;;;;;;;GetUsedItemActivate;;;;;;
;;;;;;;;;;;GetUsedItemLevel;;;;;;
;;;;;;;;;;;GetVampire;GetVampireFeed;;;;;
;;;;;;;;;;;GetWalkSpeed;GetMovementSpeed;;;;;
;;;;;;;;;;;GetWeaponHealthPerc;;;;;;
;;;;;;;;;;;HasFriendDisposition;;;;;;
;;;;;;;;;;;IsActorEvil;;;;;;
;;;;;;;;;;;IsActorTalkingThroughActivator;;;;;;
;;;;;;;;;;;IsAlwaysHardcore;;;;;;
;;;;;;;;;;;IsHardcore;;;;;;
;;;;;;;;;;;IsPlayerTagSkill;;;;;;
;;;;;;;;;;;IsPlayersLastRiddenHorse;;;;;;
;;;;;;;;;;;IsRidingHorse;IsRidingMount;;;;;
;;;;;;;;;;;IsWin32;IsWindowsPC;;;;;
;;;;;;;;;;;MenuMode;;;;;;
;;;;;;;;;;;PlayerInRegion;;;;;;
;;;;;;;;;;;WhichServiceMenu;;;;;;
;Conditions\CTDA\Parameter #1;;;;;;;;;Conditions\Condition\CTDA\Parameter #1;Talking Activator;TalkingActivator;;;;;
;Conditions\CTDA\Parameter #2;;;;;;;;;Conditions\Condition\CTDA\Parameter #2;;;;;;;
;Conditions\CTDA\Run On;;;;;;;;;Conditions\Condition\CTDA\Run On;Subject (0);0;;7;;;
;;;;;;;;;;;Target (1);1;;;;;
;;;;;;;;;;;Reference (2);2;;;;;
;;;;;;;;;;;Combat Target (3);3;;;;;
;;;;;;;;;;;Linked Reference (4);4;;;;;
;;;;;;;;;;;20;0;;;;;
;Conditions\CTDA\Reference;;;;;;;;;Conditions\Condition\CTDA\Reference;;;;8;;;
Conditions\Condition\CTDA\Comparison Value;Conditions\CTDA\Comparison Value;;;;;;;;;Conditions\Condition\CTDA\Comparison Value;;;;;;;
;Conditions\CTDA\Unused;;;;;;;;;;;;;;;;
;Conditions\CTDA\Type;;;;;;;;;Conditions\Condition\CTDA\Type;;;;;;;
;Conditions\CTDA\Parameter #2\VATS Value Param;;;;;;;;;;;;;;;;
