Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\ESM;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;Record Header\Record Flags\Persistent;;;;11;;;TRUE
;Record Header\Record Flags\Initially disabled;;;;;;;;;Record Header\Record Flags\Initially Disabled;;;;12;;;TRUE
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;Record Header\Record Flags\Is Full LOD;;;;17;;;TRUE
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;Record Header\Record Flags\Filter (Collision Geometry);;;;27;;;TRUE
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;Record Header\Record Flags\Bounding Box (Collision Geometry);;;;28;;;TRUE
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;Record Header\Record Flags\Reflected By Auto Water;;;;29;;;TRUE
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;Record Header\Record Flags\Ground;;;;31;;;TRUE
;Record Header\Record Flags\Multibound;;;;;;;;;Record Header\Record Flags\Multibound;;;;32;;;TRUE
Ignored by sandbox. Got renamed from XIBS to XIS2;XIBS;;;;;;;;;XIS2;;;;;;;
Changed to Linked References but have to List;XLKR;;;;;;;;;;;;;;;;
Gone;Audio Data;;;;;;;;;;;;;;;;
Gone;Audio Data\MMRK;;;;;;;;;;;;;;;;
Gone;Audio Data\FULL;;;;;;;;;;;;;;;;
Gone;Audio Data\CNAM;;;;;;;;;;;;;;;;
Gone;Audio Data\BNAM;;;;;;;;;;;;;;;;
Gone;Audio Data\BNAM\Use Controller Values;;;;;;;;;;;;;;;;
Gone;Audio Data\MNAM;;;;;;;;;;;;;;;;
Gone;Audio Data\NNAM;;;;;;;;;;;;;;;;
Actually Patrol\Data;Patrol Data;;;;;;;;;Patrol;;;;0;;;
;Patrol Data\XPRD;;;;;;;;;Patrol\Data\XPRD;;;;;;;
;Patrol Data\XPPA;;;;;;;;;Patrol\Data\XPPA;;;;;;;
;Patrol Data\INAM;;;;;;;;;Patrol\Data\INAM;;;;;;;
Gone;Patrol Data\Embedded Script;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\Unused;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\RefCount;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\CompiledSize;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\VariableCount;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\Type;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\Flags;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\SCHR\Flags\Enabled;;;;;;;;;;;;;;;;
There but different;Patrol Data\TNAM;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\SCDA;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\SCTX;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable\SLSD;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable\SCVR;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable\Index;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable\Unused;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\Local Variables\Local Variable\Flags;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\References;;;;;;;;;;;;;;;;
Gone;Patrol Data\Embedded Script\References\SCRO;;;;;;;;;;;;;;;;
;Patrol Data\Embedded Script\References\SCRV;;;;;;;;;;;;;;;;
;Patrol Data\Embedded Script\Local Variables\Local Variable\SLSD\Unused;;;;;;;;;;;;;;;;
;Patrol Data\Embedded Script\Local Variables\Local Variable\SLSD\Index;;;;;;;;;;;;;;;;
;Patrol Data\Embedded Script\Local Variables\Local Variable\SLSD\Flags;;;;;;;;;;;;;;;;
;Patrol Data\Embedded Script\Local Variables\Local Variable\SLSD\Flags\IsLongOrShort;;;;;;;;;;;;;;;;
SpeedTree Seed Gone;XSED;;;;;;;;;;;;;;;;
XHLT but need to divide 1 by value;XHLP;;;;;;;;;;;;;;;;
Gone;XSRF;;;;;;;;;;;;;;;;
Gone;XSRF\Imposter;;;;;;;;;;;;;;;;
Gone;XSRF\Use Full Shader in LOD;;;;;;;;;;;;;;;;
Gone;XSRF\Unknown 0;;;;;;;;;;;;;;;;
Gone;XSRD;;;;;;;;;;;;;;;;
;Map Marker\TNAM\Type;;;;;;;;;Map Marker\TNAM\Type;Office;Office / Civic Building;;;;;
;;;;;;;;;;;Town Ruins;Ruins - Town;;;;;
;;;;;;;;;;;Factory;Factory / Industrial Site;;;;;
;;;;;;;;;;;Metro;Metro Station;;;;;
;;;;;;;;;;;Military;Military Base;;;;;
;;;;;;;;;;;Monument;Gov't Building / Monument;;;;;
;;;;;;;;;;;Sewer Ruins;Sewer / Utility Tunnels;;;;;
