Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
;SPIT\Type;;;;;;;;;SPIT\Type;Actor Effect;;;;;;
;SPIT\Cost (Unused);;;;;;;;;;;;;;;;
;SPIT\Level (Unused);;;;;;;;;;;;;;;;
;SPIT\Flags;;;;;;;;;SPIT\Flags;;;0;;TRUE;;
;SPIT\Flags\No Auto-Calc;;;;;;;;;SPIT\Flags\Manual Cost Calc;;;;1;;;TRUE
;SPIT\Flags\Immune to Silence 1?;;;;;;;;;;;;;;;;
;SPIT\Flags\PC Start Effect;;;;;;;;;SPIT\Flags\PC Start Spell;;;;18;;;TRUE
;SPIT\Flags\Immune to Silence 2?;;;;;;;;;;;;;;;;
;SPIT\Flags\Area Effect Ignores LOS;;;;;;;;;SPIT\Flags\Area Effect Ignores LOS;;;;20;;;TRUE
;SPIT\Flags\Script Effect Always Applies;;;;;;;;;SPIT\Flags\Ignore Resistance;;;;21;;;TRUE
;SPIT\Flags\Disable Absorb/Reflect;;;;;;;;;SPIT\Flags\No Absorb/Reflect;;;;22;;;TRUE
;SPIT\Flags\Force Touch Explode;;;;;;;;;;;;;;;;
;SPIT\Unused;;;;;;;;;;;;;;;;
;Effects\Effect;;;;;;;;;Effects\Effect;;;;;;;
Gone;Effects\Effect\EFIT\Type;;;;;;;;;;;;;;;;
Gone;Effects\Effect\EFIT\Actor Value;;;;;;;;;;;;;;;;
;Effects\Effect\PRKE;;;;;;;;;Effects\Effect\PRKE;;;;;;;
;Effects\Effect\PRKE\Type;;;;;;;;;Effects\Effect\PRKE\Type;;;;;;;
;Effects\Effect\PRKE\Rank;;;;;;;;;Effects\Effect\PRKE\Rank;;;;;;;
;Effects\Effect\PRKE\Priority;;;;;;;;;Effects\Effect\PRKE\Priority;;;;;;;
;Effects\Effect\DATA;;;;;;;;;Effects\Effect\DATA;;;;;;;
;Effects\Effect\DATA\Ability;;;;;;;;;Effects\Effect\DATA\Ability;NULL - Null Reference [00000000];"DetectLifeSpell ""Detect Life"" [SPEL:00225179]";;;;;
;Effects\Effect\PRKF;;;;;;;;;Effects\Effect\PRKF;;;;4;;;
;Effects\Effect\DATA\Entry Point\Function;;;;;;;;;Effects\Effect\DATA\Entry Point\Function;;;;;;;
;Effects\Effect\DATA\Entry Point\Perk Condition Tab Count;;;;;;;;;Effects\Effect\DATA\Entry Point\Perk Condition Tab Count;;;;;;;
;Effects\Effect\Perk Conditions;;;;;;;;;Effects\Effect\Perk Conditions;;;;2;;;
Don’t know yet;Effects\Effect\Perk Conditions\Perk Condition\PRKC;;;;;;;;;Effects\Effect\Perk Conditions\Perk Condition\PRKC;;;;;TRUE;;
;Effects\Effect\Entry Point Function Parameters;;;;;;;;;Effects\Effect\Function Parameters;;;;;;;
;Effects\Effect\Entry Point Function Parameters\EPFT;;;;;;;;;Effects\Effect\Function Parameters\EPFT;Script;;;;;;
;Effects\Effect\Entry Point Function Parameters\EPFD;;;;;;;;;Effects\Effect\Function Parameters\EPFD;;;;4;;;
;Effects\Effect\Entry Point Function Parameters\EPFD\Float;;;;;;;;;Effects\Effect\Function Parameters\EPFD\Float;;;;;;;
;Effects\Effect\Entry Point Function Parameters\EPF2;;;;;;;;;Effects\Effect\Function Parameters\EPF2;;;;2;;;
;Effects\Effect\Entry Point Function Parameters\EPF3;;;;;;;;;Effects\Effect\Function Parameters\EPF3;;;;3;;;
;Effects\Effect\Entry Point Function Parameters\EPF3\Run Immediately;;;;;;;;;Effects\Effect\Function Parameters\EPF3\Script Flags;;0;;;TRUE;;
;;;;;;;;;;Effects\Effect\Function Parameters\EPF3\Script Flags\Run Immediately;;1;;1;TRUE;;TRUE
3;Effects\Effect\Entry Point Function Parameters\Embedded Script;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\Unused;;;;;;;;;;;;;;;;
1;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\RefCount;;;;;;;;;;;;;;;;
2;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\CompiledSize;;;;;;;;;;;;;;;;
3;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\VariableCount;;;;;;;;;;;;;;;;
4;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\Type;;;;;;;;;;;;;;;;
5;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\Flags;;;;;;;;;;;;;;;;
0;Effects\Effect\Entry Point Function Parameters\Embedded Script\SCHR\Flags\Enabled;;;;;;;;;;;;;;;;
