Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Load Started (Runtime Only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 23;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 24;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Destructible (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Obstacle / No AI Acquire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Bounding Box;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Non-Pipboy / Reflected by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Child Can Use / Refracted by Auto Water;;;;;;;;;;;;;;;;
;Record Header\Record Flags\NavMesh Generation - Ground;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Multibound;;;;;;;;;;;;;;;;
;DNAM;;;;;;;;;00TX;;;;;;;
;CNAM;;;;;;;;;10TX;;;;;;;
;ANAM;;;;;;;;;20TX;;;;;;;
;BNAM;;;;;;;;;30TX;;;;;;;
;Model\MODB;;;;;;;;;;;;;;;;
2;aIAD;;;;;;;;;IMSP\Sunrise;;;;;TRUE;;
3;bIAD;;;;;;;;;IMSP\Day;;;;;TRUE;;
4;cIAD;;;;;;;;;IMSP\EarlySunset;;;;;TRUE;;
;;;;;;;;;;IMSP\LateSunset;;;;;TRUE;;
5;dIAD;;;;;;;;;IMSP\Night;;;;;TRUE;;
6;eIAD;;;;;;;;;;;;;;;;
7;fIAD;;;;;;;;;;;;;;;;
12;Model;;;;;;;;;;;;;;;;
0;Model\MODL;;;;;;;;;;;;;;;;
1;Model\MODB;;;;;;;;;;;;;;;;
2;Model\MODT;;;;;;;;;;;;;;;;
3;Model\MODS;;;;;;;;;;;;;;;;
0;Model\MODS\Alternate Texture;;;;;;;;;;;;;;;;
0;Model\MODS\Alternate Texture\3D Name;;;;;;;;;;;;;;;;
1;Model\MODS\Alternate Texture\New Texture;;;;;;;;;;;;;;;;
2;Model\MODS\Alternate Texture\3D Index;;;;;;;;;;;;;;;;
4;Model\MODD;;;;;;;;;;;;;;;;
0;Model\MODD\Head;;;;;;;;;;;;;;;;
1;Model\MODD\Torso;;;;;;;;;;;;;;;;
2;Model\MODD\Right Hand;;;;;;;;;;;;;;;;
3;Model\MODD\Left Hand;;;;;;;;;;;;;;;;
13;LNAM;;;;;;;;;;;;;;;;
14;ONAM;;;;;;;;;;;;;;;;
0;ONAM\Layer #0;;;;;;;;;;;;;;;;
1;ONAM\Layer #1;;;;;;;;;;;;;;;;
2;ONAM\Layer #2;;;;;;;;;;;;;;;;
3;ONAM\Layer #3;;;;;;;;;;;;;;;;
15;PNAM;;;;;;;;;;;;;;;;
0;PNAM\Layer #0;;;;;;;;;;;;;;;;
0;PNAM\Layer #0\Color #0 (Sunrise);;;;;;;;;;;;;;;;
0;PNAM\Layer #0\Color #0 (Sunrise)\Red;;;;;;;;;;;;;;;;
1;PNAM\Layer #0\Color #0 (Sunrise)\Green;;;;;;;;;;;;;;;;
2;PNAM\Layer #0\Color #0 (Sunrise)\Blue;;;;;;;;;;;;;;;;
3;PNAM\Layer #0\Color #0 (Sunrise)\Unused;;;;;;;;;;;;;;;;
1;PNAM\Layer #0\Color #1 (Day);;;;;;;;;;;;;;;;
0;PNAM\Layer #0\Color #1 (Day)\Red;;;;;;;;;;;;;;;;
1;PNAM\Layer #0\Color #1 (Day)\Green;;;;;;;;;;;;;;;;
2;PNAM\Layer #0\Color #1 (Day)\Blue;;;;;;;;;;;;;;;;
3;PNAM\Layer #0\Color #1 (Day)\Unused;;;;;;;;;;;;;;;;
2;PNAM\Layer #0\Color #2 (Sunset);;;;;;;;;;;;;;;;
0;PNAM\Layer #0\Color #2 (Sunset)\Red;;;;;;;;;;;;;;;;
1;PNAM\Layer #0\Color #2 (Sunset)\Green;;;;;;;;;;;;;;;;
2;PNAM\Layer #0\Color #2 (Sunset)\Blue;;;;;;;;;;;;;;;;
3;PNAM\Layer #0\Color #2 (Sunset)\Unused;;;;;;;;;;;;;;;;
3;PNAM\Layer #0\Color #3 (Night);;;;;;;;;;;;;;;;
0;PNAM\Layer #0\Color #3 (Night)\Red;;;;;;;;;;;;;;;;
1;PNAM\Layer #0\Color #3 (Night)\Green;;;;;;;;;;;;;;;;
2;PNAM\Layer #0\Color #3 (Night)\Blue;;;;;;;;;;;;;;;;
3;PNAM\Layer #0\Color #3 (Night)\Unused;;;;;;;;;;;;;;;;
4;PNAM\Layer #0\Color #4 (High Noon);;;;;;;;;;;;;;;;
0;PNAM\Layer #0\Color #4 (High Noon)\Red;;;;;;;;;;;;;;;;
1;PNAM\Layer #0\Color #4 (High Noon)\Green;;;;;;;;;;;;;;;;
2;PNAM\Layer #0\Color #4 (High Noon)\Blue;;;;;;;;;;;;;;;;
3;PNAM\Layer #0\Color #4 (High Noon)\Unused;;;;;;;;;;;;;;;;
5;PNAM\Layer #0\Color #5 (Midnight);;;;;;;;;;;;;;;;
0;PNAM\Layer #0\Color #5 (Midnight)\Red;;;;;;;;;;;;;;;;
1;PNAM\Layer #0\Color #5 (Midnight)\Green;;;;;;;;;;;;;;;;
2;PNAM\Layer #0\Color #5 (Midnight)\Blue;;;;;;;;;;;;;;;;
3;PNAM\Layer #0\Color #5 (Midnight)\Unused;;;;;;;;;;;;;;;;
1;PNAM\Layer #1;;;;;;;;;;;;;;;;
0;PNAM\Layer #1\Color #0 (Sunrise);;;;;;;;;;;;;;;;
